cruise,cast,niskin,replicate,vol_filtered,filter_size,fd_calibrated,tau_calibrated,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,iode_quality_flag
en608,19,21-22-23,b,151,>0&<200,1.393,2.13,42.8,25.3,0.541,42.259,24.759,1.917140435,1.14783799,1
en608,19,21-22-23,c,151,>0&<200,1.393,2.13,43.4,25,0.541,42.859,24.459,2.015736229,1.012104447,1
en608,19,21-22-23,a,151,>10&<200,1.393,2.13,26.6,14.5,0.541,26.059,13.959,1.325565673,0.402453789,1
en608,19,21-22-23,b,151,>10&<200,1.393,2.13,24.5,13.7,0.541,23.959,13.159,1.183149526,0.445835938,1
en608,19,21-22-23,c,151,>10&<200,1.393,2.13,23.3,12.1,0.541,22.759,11.559,1.226969879,0.203947591,1
en608,19,21-22-23,a,151,>5&<200,1.393,2.13,25.2,13.3,0.541,24.659,12.759,1.303655496,0.275812969,1
en608,19,21-22-23,b,151,>5&<200,1.393,2.13,19.7,13.7,0.541,19.159,13.159,0.657305292,0.971680172,3
en608,19,21-22-23,c,151,>5&<200,1.393,2.13,33.4,17.1,0.541,32.859,16.559,1.785679377,0.264200576,1
en608,19,21-22-23,a,151,>20&<200,1.393,2.13,23.4,14.3,0.541,22.859,13.759,0.996913026,0.706347936,1
en608,19,21-22-23,b,151,>20&<200,1.393,2.13,22.6,12.1,0.541,22.059,11.559,1.150284261,0.280633208,1
en608,19,21-22-23,c,151,>20&<200,1.393,2.13,24.8,14.8,0.541,24.259,14.259,1.09550882,0.66964839,1
en617,1,13-14-15,a,120,>0&<200,1.3933,2.129904724,28,16.2,0.513,27.487,15.687,1.549583564,0.778050557,1
en617,1,13-14-15,b,120,>0&<200,1.3933,2.129904724,27.8,16.4,0.513,27.287,15.887,1.497055307,0.860254776,1
en617,1,13-14-15,c,120,>0&<200,1.3933,2.129904724,27.6,16.7,0.513,27.087,16.187,1.431394987,0.97042904,1
en617,1,13-14-15,a,120,>10&<200,1.3933,2.129904724,5.87,3.35,0.513,5.357,2.837,0.330928015,0.090025513,1
en617,1,13-14-15,b,120,>10&<200,1.3933,2.129904724,5.6,3.17,0.513,5.087,2.657,0.319109158,0.075136004,1
en617,1,13-14-15,c,120,>10&<200,1.3933,2.129904724,6.16,3.53,0.513,5.647,3.017,0.345373286,0.102288609,1
en617,1,13-14-15,a,120,>5&<200,1.393,2.129904724,9.06,5.04,0.513,8.547,4.527,0.527795309,0.143775471,1
en617,1,13-14-15,b,120,>5&<200,1.393,2.129904724,9.68,5.41,0.513,9.167,4.897,0.560618401,0.165841089,1
en617,1,13-14-15,c,120,>5&<200,1.393,2.129904724,9.24,5.21,0.513,8.727,4.697,0.529108233,0.167681684,1
en617,1,13-14-15,a,120,>20&<200,1.393,2.129904724,2.55,1.59,0.513,2.037,1.077,0.126040671,0.033729979,1
en617,1,13-14-15,b,120,>20&<200,1.393,2.129904724,2.06,1.37,0.513,1.547,0.857,0.090591732,0.036542387,1
en617,1,13-14-15,c,120,>20&<200,1.393,2.129904724,1.97,1.26,0.513,1.457,0.747,0.09321758,0.017598275,1
en617,5,17-18-19-20,a,120,>0&<200,1.3933,2.129904724,9.16,5.39,0.513,8.647,4.877,0.495078816,0.22856953,1
en617,5,17-18-19-20,b,120,>0&<200,1.3933,2.129904724,9.17,5.49,0.513,8.657,4.977,0.483259959,0.255226369,1
en617,5,17-18-19-20,c,120,>0&<200,1.3933,2.129904724,9.28,5.6,0.513,8.767,5.087,0.483259959,0.271548148,1
en617,5,17-18-19-20,a,120,>10&<200,1.3933,2.129904724,1.08,0.83,0.513,0.567,0.317,0.03283016,0.01420624,1
en617,5,17-18-19-20,b,120,>10&<200,1.3933,2.129904724,1,0.78,0.513,0.487,0.267,0.028890541,0.010726869,1
en617,5,17-18-19-20,c,120,>10&<200,1.3933,2.129904724,1.09,0.835,0.513,0.577,0.322,0.033486763,0.014291536,1
en617,5,17-18-19-20,a,120,>5&<200,1.3933,2.129904724,1.6,1.08,0.513,1.087,0.567,0.068286733,0.01584462,1
en617,5,17-18-19-20,b,120,>5&<200,1.3933,2.129904724,1.69,1.12,0.513,1.177,0.607,0.074852765,0.015213781,1
en617,5,17-18-19-20,c,120,>5&<200,1.3933,2.129904724,1.63,1.09,0.513,1.117,0.577,0.070913146,0.014702006,1
en617,5,17-18-19-20,a,120,>20&<200,1.3933,2.129904724,1.06,0.85,0.513,0.547,0.337,0.027577335,0.022426662,1
en617,5,17-18-19-20,b,120,>20&<200,1.3933,2.129904724,1.1,0.859,0.513,0.587,0.346,0.031648274,0.019691141,1
en617,5,17-18-19-20,c,120,>20&<200,1.3933,2.129904724,1.12,0.873,0.513,0.607,0.36,0.032436198,0.020980534,1
en617,8,17-18-19-20,a,120,>0&<200,1.3933,2.129904724,11.1,6.3,0.507,10.593,5.793,0.630339077,0.229225178,1
en617,8,17-18-19-20,b,120,>0&<200,1.3933,2.129904724,10.9,6.27,0.507,10.393,5.763,0.608014568,0.247098292,1
en617,8,17-18-19-20,c,120,>0&<200,1.3933,2.129904724,11.3,6.81,0.507,10.793,6.303,0.589629678,0.345608281,1
en617,8,17-18-19-20,a,120,>10&<200,1.3933,2.129904724,0.86,0.72,0.507,0.353,0.213,0.01838489,0.01322001,1
en617,8,17-18-19-20,b,120,>10&<200,1.3933,2.129904724,0.817,0.68,0.507,0.31,0.173,0.017990928,0.00767878,1
en617,8,17-18-19-20,c,120,>10&<200,1.3933,2.129904724,1.18,1.03,0.507,0.673,0.523,0.019698096,0.057904546,3
en617,8,17-18-19-20,a,120,>5&<200,1.3933,2.129904724,1.64,1.11,0.507,1.133,0.603,0.06959994,0.019873087,1
en617,8,17-18-19-20,b,120,>5&<200,1.3933,2.129904724,1.6,1.08,0.507,1.093,0.573,0.068286733,0.016734899,1
en617,8,17-18-19-20,c,120,>5&<200,1.3933,2.129904724,1.67,1.14,0.507,1.163,0.633,0.06959994,0.024324482,1
en617,8,17-18-19-20,a,120,>20&<200,1.3933,2.129904724,0.75,0.655,0.507,0.243,0.148,0.012475461,0.009484751,1
en617,8,17-18-19-20,b,120,>20&<200,1.3933,2.129904724,0.871,0.703,0.507,0.364,0.196,0.022061868,0.007020576,1
en617,8,17-18-19-20,c,120,>20&<200,1.3933,2.129904724,0.757,0.652,0.507,0.25,0.145,0.013788667,0.007726406,1
en617,14,20-21-22-23-24,a,120,>0&<200,1.3933,2.129904724,6.57,4.15,0.425,6.145,3.725,0.317795951,0.234918851,1
en617,14,20-21-22-23-24,b,120,>0&<200,1.3933,2.129904724,6.69,4.19,0.425,6.265,3.765,0.328301602,0.230348392,1
en617,14,20-21-22-23-24,c,120,>0&<200,1.3933,2.129904724,7.36,4.59,0.425,6.935,4.165,0.363758176,0.254243744,1
en617,14,20-21-22-23-24,a,120,>10&<200,1.3933,2.129904724,0.776,0.993,0.425,0.351,0.568,-0.028496579,0.112776313,4
en617,14,20-21-22-23-24,b,120,>10&<200,1.3933,2.129904724,1.38,1.02,0.425,0.955,0.595,0.047275431,0.041010558,1
en617,14,20-21-22-23-24,c,120,>10&<200,1.3933,2.129904724,1.37,0.993,0.425,0.945,0.568,0.049507882,0.034771852,1
en617,14,20-21-22-23-24,a,120,>5&<200,1.3933,2.129904724,1.88,1.19,0.425,1.455,0.765,0.090611242,0.022899314,1
en617,14,20-21-22-23-24,b,120,>5&<200,1.3933,2.129904724,1.95,1.31,0.425,1.525,0.885,0.08404521,0.047270924,1
en617,14,20-21-22-23-24,c,120,>5&<200,1.3933,2.129904724,1.93,1.35,0.425,1.505,0.925,0.076165972,0.061085355,3
en617,14,20-21-22-23-24,a,120,>20&<200,1.3933,2.129904724,0.798,0.654,0.425,0.373,0.229,0.018910172,0.015068805,1
en617,14,20-21-22-23-24,b,120,>20&<200,1.3933,2.129904724,0.813,0.647,0.425,0.388,0.222,0.021799226,0.011141092,1
en617,14,20-21-22-23-24,c,120,>20&<200,1.3933,2.129904724,0.801,0.656,0.425,0.376,0.231,0.019041493,0.015234244,1
en617,18,19-20,a,120,>0&<200,1.3933,2.129904724,6.23,3.89,0.5085,5.7215,3.3815,0.3072903,0.194456036,1
en617,18,19-20,b,120,>0&<200,1.3933,2.129904724,6.31,3.7,0.5085,5.8015,3.1915,0.342746873,0.130807299,1
en617,18,19-20,c,120,>0&<200,1.3933,2.129904724,6.34,4,0.5085,5.8315,3.4915,0.3072903,0.210777816,1
en617,18,19-20,a,120,>10&<200,1.3933,2.129904724,1.14,0.821,0.5085,0.6315,0.3125,0.041891284,0.004477407,1
en617,18,19-20,b,120,>10&<200,1.3933,2.129904724,1.05,0.667,0.5085,0.5415,0.1585,0.050295805,-0.026777605,3
en617,18,19-20,c,120,>10&<200,1.3933,2.129904724,1.05,0.764,0.5085,0.5415,0.2555,0.037557703,0.000353339,1
en617,18,19-20,a,120,>5&<200,1.3933,2.129904724,1.44,0.973,0.5085,0.9315,0.4645,0.061326739,0.007595684,1
en617,18,19-20,b,120,>5&<200,1.3933,2.129904724,1.2,0.871,0.5085,0.6915,0.3625,0.043204491,0.010583191,1
en617,18,19-20,c,120,>5&<200,1.3933,2.129904724,1.35,0.926,0.5085,0.8415,0.4175,0.055679952,0.00626862,1
en617,18,19-20,a,120,>20&<200,1.3933,2.129904724,0.702,0.598,0.5085,0.1935,0.0895,0.013657347,-0.000377353,3
en617,18,19-20,b,120,>20&<200,1.3933,2.129904724,0.736,0.646,0.5085,0.2275,0.1375,0.011818858,0.008583367,1
en617,18,19-20,c,120,>20&<200,1.3933,2.129904724,0.743,0.62,0.5085,0.2345,0.1115,0.016152439,0.00039191,1
en617,21,14-15,a,120,>0&<200,1.3933,2.129904724,33.9,19.1,0.5085,33.3915,18.5915,1.943545486,0.815057799,1
en617,21,14-15,b,120,>0&<200,1.3933,2.129904724,34.1,19.2,0.5085,33.5915,18.6915,1.956677551,0.816763717,1
en617,21,14-15,c,120,>0&<200,1.3933,2.129904724,33.2,19.2,0.5085,32.6915,18.6915,1.838488974,0.934952294,1
en617,21,14-15,a,120,>10&<200,1.3933,2.129904724,9.3,5.11,0.5085,8.7915,4.6015,0.550233486,0.132536222,1
en617,21,14-15,b,120,>10&<200,1.3933,2.129904724,10.6,5.69,0.5085,10.0915,5.1815,0.644784347,0.124045652,1
en617,21,14-15,c,120,>10&<200,1.3933,2.129904724,11.1,6.5,0.5085,10.5915,5.9915,0.604074948,0.284942699,1
en617,21,14-15,a,120,>5&<200,1.3933,2.129904724,13.2,6.77,0.5085,12.6915,6.2615,0.844391721,0.084688475,1
en617,21,14-15,b,120,>5&<200,1.3933,2.129904724,15.2,7.84,0.5085,14.6915,7.3315,0.966519918,0.121326678,1
en617,21,14-15,c,120,>5&<200,1.3933,2.129904724,13.9,7.71,0.5085,13.3915,7.2015,0.812874768,0.255682453,1
en617,21,14-15,a,120,>20&<200,1.3933,2.129904724,1.62,1.11,0.5085,1.1115,0.6015,0.066973527,0.02227693,1
en617,21,14-15,b,120,>20&<200,1.3933,2.129904724,1.84,1.32,0.5085,1.3315,0.8115,0.068286733,0.052123485,1
en617,21,14-15,c,120,>20&<200,1.3933,2.129904724,1.75,1.26,0.5085,1.2415,0.7515,0.064347114,0.047160315,1
en617,21,17-18,a,120,>0&<200,1.3933,2.129904724,14.2,8.45,0.5085,13.6915,7.9415,0.755093686,0.423264596,1
en617,21,17-18,b,120,>0&<200,1.3933,2.129904724,13.3,8.5,0.5085,12.7915,7.9915,0.630339077,0.555438196,3
en617,21,17-18,c,120,>0&<200,1.3933,2.129904724,13.3,7.72,0.5085,12.7915,7.2115,0.732769177,0.337271842,1
en617,21,17-18,a,120,>10&<200,1.3933,2.129904724,3.8,2.22,0.5085,3.2915,1.7115,0.207486613,0.046465437,1
en617,21,17-18,b,120,>10&<200,1.3933,2.129904724,4.36,2.49,0.5085,3.8515,1.9815,0.245569599,0.048445,1
en617,21,17-18,c,120,>10&<200,1.3933,2.129904724,4.07,2.38,0.5085,3.5615,1.8715,0.221931883,0.055760936,1
en617,21,17-18,a,120,>5&<200,1.3933,2.129904724,4.84,2.81,0.5085,4.3315,2.3015,0.266580901,0.074915238,1
en617,21,17-18,b,120,>5&<200,1.3933,2.129904724,4.95,2.87,0.5085,4.4415,2.3615,0.273146933,0.077251994,1
en617,21,17-18,c,120,>5&<200,1.3933,2.129904724,4.32,2.54,0.5085,3.8115,2.0315,0.233750741,0.067682848,1
en617,21,17-18,a,120,>20&<200,1.3933,2.129904724,1.49,1.09,0.5085,0.9815,0.5815,0.052528256,0.033754605,1
en617,21,17-18,b,120,>20&<200,1.3933,2.129904724,1.4,0.985,0.5085,0.8915,0.4765,0.054498066,0.016204915,1
en617,21,17-18,c,120,>20&<200,1.3933,2.129904724,1.6,1.07,0.5085,1.0915,0.5615,0.06959994,0.013715325,1
en617,21,19-21-23-24,a,120,>0&<200,1.3933,2.129904724,6.83,4.21,0.5085,6.3215,3.7015,0.344060079,0.205167797,1
en617,21,19-21-23-24,b,120,>0&<200,1.3933,2.129904724,7.33,4.42,0.5085,6.8215,3.9115,0.382143065,0.198244572,1
en617,21,19-21-23-24,c,120,>0&<200,1.3933,2.129904724,6.84,3.91,0.5085,6.3315,3.4015,0.384769478,0.119944454,1
en617,21,19-21-23-24,a,120,>10&<200,1.3933,2.129904724,2.47,1.5,0.5085,1.9615,0.9915,0.127381022,0.019737562,1
en617,21,19-21-23-24,b,120,>10&<200,1.3933,2.129904724,2.13,1.4,0.5085,1.6215,0.8915,0.095864068,0.036416535,1
