"cruise","date.x","cast","niskin","replicate","depth_rep","filter_id_ooi","filter_size_ooi","Comments","chl_ooi_r","phaeo_ooi_r","filter_size","date.y","latitude","longitude","depth","chl_r","phaeo_r","method_contributor","chl_diff"
"AR24B",2017-11-01,9,"9","a","a","09/05",">0",NA,1.387,0.533,">0",NA,NA,NA,NA,1.387,0.533,"method_Sosik",NA
"AR24B",2017-11-01,9,"10","a","b","09/06",">0",NA,1.5,0.607,">0",NA,NA,NA,NA,1.5,0.607,"method_Sosik",NA
"AR24C",2017-11-06,2,"3","a","a","02/01",">0","volume not recorded in sample log, infer from brown bottle # volume from another cast",0.759,0.407,">0",2017-11-06 15:32:47,40.1368333333333,-70.7746666666667,48.2848452749776,0.759,0.407,"method_Sosik",0
"AR24C",2017-11-06,2,"4","a","a","02/02",">0","volume not recorded in sample log, infer from brown bottle # volume from another cast",0.704,0.389,">0",2017-11-06 15:32:55,40.1368333333333,-70.7746666666667,48.1727388837155,0.704,0.389,"method_Sosik",0
"AR24C",2017-11-06,2,"5","a","b","02/03",">0","volume not recorded in sample log, infer from brown bottle # volume from another cast",0.981,0.454,">0",2017-11-06 15:35:02,40.1368333333333,-70.7746666666667,29.9055216949342,0.981,0.454,"method_Sosik",0
"AR24C",2017-11-06,2,"6","a","a","02/04",">0","volume not recorded in sample log, infer from brown bottle # volume from another cast",1.045,0.507,">0",2017-11-06 15:35:09,40.1368333333333,-70.7746666666667,29.7031167171677,1.045,0.507,"method_Sosik",0
"AR24C",2017-11-06,2,"7","a","a","02/05",">0","volume not recorded in sample log, infer from brown bottle # volume from another cast",0.861,0.376,">0",2017-11-06 15:37:04,40.1368333333333,-70.7746666666667,7.52962968430053,0.861,0.376,"method_Sosik",0
"AR24C",2017-11-06,2,"8","a","b","02/06",">0","volume not recorded in sample log, infer from brown bottle # volume from another cast",0.846,0.358,">0",2017-11-06 15:37:13,40.1368333333333,-70.7746666666667,7.88288436497648,0.846,0.358,"method_Sosik",0
"AR24C",2017-11-06,3,"5","a","a","03/01",">0","volume not recorded in sample log, infer from brown bottle # volume from another cast",0.889,0.352,">0",2017-11-06 20:48:07,40.0961666666667,-70.8835,34.5499949595261,0.889,0.352,"method_Sosik",0
"AR24C",2017-11-06,3,"6","a","b","03/02",">0","volume not recorded in sample log, infer from brown bottle # volume from another cast",0.921,0.404,">0",2017-11-06 20:48:17,40.0961666666667,-70.8835,34.6363130289259,0.921,0.404,"method_Sosik",0
