cruise,cast,niskin,niskin_second_cast,replicate,vol_filtered,filter_size,fd_calibrated,tau_calibrated,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,iode_quality_flag
en608,19,11-12,NA',b,151,>0&<200,1.393,2.13,39.7,25,0.541,39.159,24.459,1.53371234835609,1.34994543879622,1
en608,19,11-12,NA',c,151,>0&<200,1.393,2.13,36.4,21.9,0.541,35.859,21.359,1.51284551368458,1.00532966419621,1
en608,19,15,NA',a,151,>0&<200,1.393,2.13,38.2,26.8,0.541,37.659,26.259,1.18940957627615,1.90646391948544,1
en608,19,15,NA',b,151,>0&<200,1.393,2.13,47.3,29.3,0.541,46.759,28.759,1.87801512043603,1.51260241506066,1
en608,19,15,NA',c,151,>0&<200,1.393,2.13,45.9,27.5,0.541,45.359,26.959,1.91974878977905,1.25865303710836,1
en608,19,21-22-23,NA',a,151,>0&<200,1.393,2.13,50.2,34.1,0.541,49.659,33.559,1.76376920060951,2.39058319576798,1
en608,19,21-22-23,NA',b,151,>0&<200,1.393,2.13,42.8,25.3,0.541,42.259,24.759,1.91714043544512,1.14783799007144,1
en608,19,21-22-23,NA',c,151,>0&<200,1.393,2.13,43.4,25,0.541,42.859,24.459,2.01573622926801,1.01210444724193,1
en608,19,21-22-23,NA',a,151,>10&<200,1.393,2.13,26.6,14.5,0.541,26.059,13.959,1.32556567250777,0.40245378877038,1
en608,19,21-22-23,NA',b,151,>10&<200,1.393,2.13,24.5,13.7,0.541,23.959,13.159,1.1831495258747,0.445835938052452,1
en608,19,21-22-23,NA',c,151,>10&<200,1.393,2.13,23.3,12.1,0.541,22.759,11.559,1.22696987868487,0.203947590540291,1
en608,19,21-22-23,NA',a,151,>5&<200,1.393,2.13,25.2,13.3,0.541,24.659,12.759,1.30365549610268,0.275812969148977,1
en608,19,21-22-23,NA',b,151,>5&<200,1.393,2.13,19.7,13.7,0.541,19.159,13.159,0.657305292152611,0.971680171774541,3
en608,19,21-22-23,NA',c,151,>5&<200,1.393,2.13,33.4,17.1,0.541,32.859,16.559,1.78567937701459,0.264200575654281,1
en608,19,21-22-23,NA',a,151,>20&<200,1.393,2.13,23.4,14.3,0.541,22.859,13.759,0.99691302643146,0.706347935508938,1
en608,19,21-22-23,NA',b,151,>20&<200,1.393,2.13,22.6,12.1,0.541,22.059,11.559,1.15028426126707,0.280633207958096,1
en608,19,21-22-23,NA',c,151,>20&<200,1.393,2.13,24.8,14.8,0.541,24.259,14.259,1.09550882025435,0.669648390030416,1
en617,1,13-14-15,NA',a,120,>0&<200,1.3933,2.129904724,28,16.2,0.513,27.487,15.687,1.54958356351648,0.778050556699873,1
en617,1,13-14-15,NA',b,120,>0&<200,1.3933,2.129904724,27.8,16.4,0.513,27.287,15.887,1.49705530712609,0.860254775609754,1
en617,1,13-14-15,NA',c,120,>0&<200,1.3933,2.129904724,27.6,16.7,0.513,27.087,16.187,1.43139498663811,0.970429039876978,1
en617,1,13-14-15,NA',a,120,>10&<200,1.3933,2.129904724,5.87,3.35,0.513,5.357,2.837,0.330928015259452,0.0900255130795418,1
en617,1,13-14-15,NA',b,120,>10&<200,1.3933,2.129904724,5.6,3.17,0.513,5.087,2.657,0.319109157571615,0.0751360044998366,1
en617,1,13-14-15,NA',c,120,>10&<200,1.3933,2.129904724,6.16,3.53,0.513,5.647,3.017,0.345373285766809,0.102288608839727,1
en617,1,13-14-15,NA',a,120,>5&<200,1.393,2.129904724,9.06,5.04,0.513,8.547,4.527,0.527795309391885,0.143775471056534,1
en617,1,13-14-15,NA',b,120,>5&<200,1.393,2.129904724,9.68,5.41,0.513,9.167,4.897,0.560618400771977,0.165841089366284,1
en617,1,13-14-15,NA',c,120,>5&<200,1.393,2.129904724,9.24,5.21,0.513,8.727,4.697,0.529108233047088,0.167681684285852,1
en617,1,13-14-15,NA',a,120,>20&<200,1.393,2.129904724,2.55,1.59,0.513,2.037,1.077,0.126040670899555,0.0337299786570937,1
en617,1,13-14-15,NA',b,120,>20&<200,1.393,2.129904724,2.06,1.37,0.513,1.547,0.857,0.0905917322090548,0.0365423872617414,1
en617,1,13-14-15,NA',c,120,>20&<200,1.393,2.129904724,1.97,1.26,0.513,1.457,0.747,0.0932175795194622,0.017598274908408,1
en617,5,17-18-19-20,NA',a,120,>0&<200,1.3933,2.129904724,9.16,5.39,0.513,8.647,4.877,0.495078816479419,0.228569529558394,1
en617,5,17-18-19-20,NA',b,120,>0&<200,1.3933,2.129904724,9.17,5.49,0.513,8.657,4.977,0.483259958791581,0.255226368505977,1
en617,5,17-18-19-20,NA',c,120,>0&<200,1.3933,2.129904724,9.28,5.6,0.513,8.767,5.087,0.483259958791581,0.271548147891698,1
en617,5,17-18-19-20,NA',a,120,>10&<200,1.3933,2.129904724,1.08,0.83,0.513,0.567,0.317,0.0328301602439933,0.0142062403494015,1
en617,5,17-18-19-20,NA',b,120,>10&<200,1.3933,2.129904724,1,0.78,0.513,0.487,0.267,0.0288905410147141,0.0107268689488077,1
en617,5,17-18-19-20,NA',c,120,>10&<200,1.3933,2.129904724,1.09,0.835,0.513,0.577,0.322,0.0334867634488732,0.014291536207509,1
en617,5,17-18-19-20,NA',a,120,>5&<200,1.3933,2.129904724,1.6,1.08,0.513,1.087,0.567,0.068286733307506,0.0158446204352538,1
en617,5,17-18-19-20,NA',b,120,>5&<200,1.3933,2.129904724,1.69,1.12,0.513,1.177,0.607,0.0748527653563047,0.0152137808903536,1
en617,5,17-18-19-20,NA',c,120,>5&<200,1.3933,2.129904724,1.63,1.09,0.513,1.117,0.577,0.0709131461270255,0.014702005741709,1
en617,5,17-18-19-20,NA',a,120,>20&<200,1.3933,2.129904724,1.06,0.85,0.513,0.547,0.337,0.0275773346049544,0.0224266622403897,1
en617,5,17-18-19-20,NA',b,120,>20&<200,1.3933,2.129904724,1.1,0.859,0.513,0.587,0.346,0.0316482744752095,0.0196911406835116,1
en617,5,17-18-19-20,NA',c,120,>20&<200,1.3933,2.129904724,1.12,0.873,0.513,0.607,0.36,0.0324361983210654,0.0209805342140202,1
en617,8,17-18-19-20,NA',a,120,>0&<200,1.3933,2.129904724,11.1,6.3,0.507,10.593,5.793,0.630339076684671,0.229225177692415,1
en617,8,17-18-19-20,NA',b,120,>0&<200,1.3933,2.129904724,10.9,6.27,0.507,10.393,5.763,0.608014567718756,0.247098292280406,1
en617,8,17-18-19-20,NA',c,120,>0&<200,1.3933,2.129904724,11.3,6.81,0.507,10.793,6.303,0.589629677982119,0.345608280819671,1
en617,8,17-18-19-20,NA',a,120,>10&<200,1.3933,2.129904724,0.86,0.72,0.507,0.353,0.213,0.0183848897366362,0.0132200103466227,1
en617,8,17-18-19-20,NA',b,120,>10&<200,1.3933,2.129904724,0.817,0.68,0.507,0.31,0.173,0.0179909278137083,0.00767877976565228,1
en617,8,17-18-19-20,NA',c,120,>10&<200,1.3933,2.129904724,1.18,1.03,0.507,0.673,0.523,0.019698096146396,0.0579045458420756,3
en617,8,17-18-19-20,NA',a,120,>5&<200,1.3933,2.129904724,1.64,1.11,0.507,1.133,0.603,0.0695999397172657,0.0198730872790027,3
en617,8,17-18-19-20,NA',b,120,>5&<200,1.3933,2.129904724,1.6,1.08,0.507,1.093,0.573,0.068286733307506,0.0167348993108386,1
en617,8,17-18-19-20,NA',c,120,>5&<200,1.3933,2.129904724,1.67,1.14,0.507,1.163,0.633,0.0695999397172657,0.0243244816569264,1
en617,8,17-18-19-20,NA',a,120,>20&<200,1.3933,2.129904724,0.75,0.655,0.507,0.243,0.148,0.0124754608927174,0.00948475137170664,1
en617,8,17-18-19-20,NA',b,120,>20&<200,1.3933,2.129904724,0.871,0.703,0.507,0.364,0.196,0.0220618676839635,0.00702057558513867,1
en617,8,17-18-19-20,NA',c,120,>20&<200,1.3933,2.129904724,0.757,0.652,0.507,0.25,0.145,0.0137886673024772,0.00772640552415453,1
en617,14,20-21-22-23-24,NA',a,120,>0&<200,1.3933,2.129904724,6.57,4.15,0.425,6.145,3.725,0.317795951161855,0.234918850763684,1
en617,14,20-21-22-23-24,NA',b,120,>0&<200,1.3933,2.129904724,6.69,4.19,0.425,6.265,3.765,0.328301602439933,0.230348391989504,1
