"cruise","cast","date","latitude","longitude","nearest_station","distance_km"
"EN608","6",2018-02-01 13:47:26,40.693167,-70.657,"u4",0.66266950672
"EN608","7",2018-02-01 17:30:52,40.691833,-71.097833,"d4",0.71266768281
"EN608","8",2018-02-01 19:15:43,40.697167,-70.8855,"L4",0.1926026104
"EN608","9",2018-02-01 23:33:02,40.524333,-70.893333,"L5",1.05648037055
"EN608","10",2018-02-02 03:59:07,40.361,-70.663333,"u6",0.2921575862
"EN608","11",2018-02-02 06:58:16,40.361667,-71.103333,"d6",0.23004419916
"EN608","12",2018-02-02 09:13:36,40.359,-70.879333,"L6",0.58445797788
"EN608","13",2018-02-02 14:00:51,40.2205,-70.8765,"L7",0.89921634703
"EN608","13b",2018-02-02 15:14:57,40.214667,-70.894,"L7",1.61728268868
"EN608","14",2018-02-02 15:14:57,40.214667,-70.894,"L7",1.61728268868
"EN608","15",2018-02-02 19:00:30,40.125667,-70.797833,"L8",2.29635853473
"EN608","16",2018-02-03 00:24:54,40.096167,-70.6645,"u9",0.24096199765
"EN608","17",2018-02-03 12:39:05,39.7725,-70.672833,"u11",0.53450467376
"EN608","18",2018-02-03 15:41:35,39.771833,-71.100833,"d11",0.17798127661
"EN608","19",2018-02-03 17:45:08,39.768667,-70.885833,"L11",0.55880415054
"EN608","20",2018-02-03 21:07:59,39.929333,-70.768167,"L12",1.32147322612
"EN608","21",2018-02-03 22:37:51,39.932333,-70.888,"L10",0.94201374629
"EN608","22",2018-02-04 03:13:08,40.085833,-70.857167,"L9",2.61983491229
"EN608","23",2018-02-04 06:18:26,40.208833,-70.863,"L7",2.63020567218
"EN608","24",2018-02-04 08:33:57,40.356333,-70.764667,"L13",1.30202747733
"EN608","25",2018-02-04 10:52:04,40.5285,-70.884333,"L5",0.18826056529
"EN608","26",2018-02-04 12:37:19,40.695333,-70.8815,"L4",0.21478673082
"EN608","27",2018-02-04 14:09:40,40.862667,-70.882833,"L3",0.08060115897
"EN608","28",2018-02-04 18:19:52,41.029667,-70.881333,"L2",0.16909971087
"EN608","29",2018-02-04 21:02:46,41.196667,-70.882833,"L1",0.03924538066
"EN608","30",2018-02-05 00:03:36,41.322333,-70.576,"MVCO-ASIT",0.83130667733
"AR28A","1",2018-03-24 15:37:12,39.94,-70.883333,"L10",0.00281342076
"AR28A","2",2018-03-24 22:35:59,40.136167,-70.774333,"L8",0.0820222474
"AR28A","3",2018-03-25 16:01:07,40.3635,-70.887333,"L6",0.34242019988
"AR28A","4",2018-03-31 14:13:59,39.922167,-70.756,"L12",2.56059576937
"AR28A","5",2018-03-31 20:53:41,40.293,-70.774833,"L13",8.00605825656
"AR28A","6",2018-03-31 21:49:57,40.22,-70.774833,"L7",9.23905388752
"AR28A","7",2018-03-31 22:48:20,40.138,-70.777,"L8",0.22316299115
"AR28A","8",2018-03-31 23:40:20,40.072833,-70.774333,"L8",7.10192272429
"AR28A","9",2018-04-01 00:33:56,40.007167,-70.7755,"L12",7.46876144949
"AR28B","1",2018-04-03 20:26:58,41.196833,-70.883333,"L1",0.01504448247
"AR28B","2",2018-04-03 22:12:36,41.031333,-70.883167,"L2",0.14864228863
"AR28B","3",2018-04-04 00:04:17,40.863833,-70.884833,"L3",0.14188630797
"AR28B","4",2018-04-04 01:56:45,40.697167,-70.8835,"L4",0.05459687741
"AR28B","5",2018-04-04 04:02:22,40.529667,-70.882667,"L5",0.06506272979
"AR28B","6",2018-04-05 19:28:40,40.365167,-70.774833,"L13",0.02334560195
"AR28B","7",2018-04-05 22:28:49,40.3355,-70.829333,"L6",5.52004784299
"AR28B","8",2018-04-05 23:24:16,40.269833,-70.829167,"L7",6.64157693969
"AR28B","9",2018-04-06 00:24:36,40.204,-70.829833,"L7",5.19444970616
"AR28B","10",2018-04-09 14:50:02,39.940333,-70.882167,"L10",0.10344779908
"AR28B","11",2018-04-10 00:03:18,39.940667,-70.7745,"L12",0.08554446154
"AR28B","12",2018-04-10 01:53:32,39.7735,-70.884,"L11",0.06382354652
"AR28B","13",2018-04-10 04:15:25,39.817,-70.828833,"L10.5",6.41211883324
"AR28B","14",2018-04-10 05:46:26,39.945667,-70.829,"L12",4.64651574242
"AR28B","15",2018-04-10 06:51:23,40.0105,-70.831667,"L9.5",4.50232010927
"AR28B","16",2018-04-10 07:46:58,40.075167,-70.829667,"L9",5.23780159609
"AR28B","17",2018-04-10 18:21:12,40.096,-70.885333,"L9",0.30872393435
"AR28B","18",2018-04-11 00:14:12,40.075833,-70.830167,"L9",5.1645444089
"AR28B","19",2018-04-11 01:06:46,40.139833,-70.830833,"L8",4.75899976262
"AR28B","20",2018-04-11 01:56:47,40.205,-70.8295,"L7",5.16629072581
"AR28B","21",2018-04-11 02:45:32,40.269667,-70.829833,"L7",6.58921127859
"AR28B","22",2018-04-11 03:32:36,40.334667,-70.830833,"L6",5.46862800487
"AR28B","23",2018-04-11 04:18:18,40.4015,-70.829833,"L13",6.16787023952
"AR28B","24",2018-04-11 05:02:30,40.4655,-70.830833,"L5",8.43329797925
"AR28B","25",2018-04-11 05:46:10,40.530167,-70.830833,"L5",4.43431214747
"AR28B","26",2018-04-11 06:24:41,40.595667,-70.831167,"L5",8.52708766972
"AR28B","27",2018-04-11 12:21:56,40.226833,-70.884167,"L7",0.07507655498
"AR28B","28",2018-04-11 17:59:59,40.364,-70.883333,"L6",0.07788675511
