cruise,cast,niskin,replicate_chl,vol_filtered,filter_size,Fs,r,fo,fa,blank,fo_blank,fa_blank,chl,phaeo
en617,1',13-14-15',c,120,>10&<200,1.3933,2.129904724,6.16,3.53,0.513,5.647,3.017,0.345373285766809,0.102288608839727
en617,5',17-18-19-20',a,120,>0&<200,1.3933,2.129904724,9.16,5.39,0.513,8.647,4.877,0.495078816479419,0.228569529558394
en617,5',17-18-19-20',b,120,>0&<200,1.3933,2.129904724,9.17,5.49,0.513,8.657,4.977,0.483259958791581,0.255226368505977
en617,5',17-18-19-20',c,120,>0&<200,1.3933,2.129904724,9.28,5.6,0.513,8.767,5.087,0.483259958791581,0.271548147891698
en617,5',17-18-19-20',a,120,>10&<200,1.3933,2.129904724,1.08,0.83,0.513,0.567,0.317,0.0328301602439933,0.0142062403494015
en617,5',17-18-19-20',b,120,>10&<200,1.3933,2.129904724,1,0.78,0.513,0.487,0.267,0.0288905410147141,0.0107268689488077
en617,5',17-18-19-20',c,120,>10&<200,1.3933,2.129904724,1.09,0.835,0.513,0.577,0.322,0.0334867634488732,0.014291536207509
en617,8',17-18-19-20',a,120,>0&<200,1.3933,2.129904724,11.1,6.3,0.507,10.593,5.793,0.630339076684671,0.229225177692415
en617,8',17-18-19-20',b,120,>0&<200,1.3933,2.129904724,10.9,6.27,0.507,10.393,5.763,0.608014567718756,0.247098292280406
en617,8',17-18-19-20',c,120,>0&<200,1.3933,2.129904724,11.3,6.81,0.507,10.793,6.303,0.589629677982119,0.345608280819671
en617,8',17-18-19-20',a,120,>10&<200,1.3933,2.129904724,0.86,0.72,0.507,0.353,0.213,0.0183848897366362,0.0132200103466227
en617,8',17-18-19-20',b,120,>10&<200,1.3933,2.129904724,0.817,0.68,0.507,0.31,0.173,0.0179909278137083,0.00767877976565228
en617,8',17-18-19-20',c,120,>10&<200,1.3933,2.129904724,1.18,1.03,0.507,0.673,0.523,0.019698096146396,0.0579045458420756
en617,14',20-21-22-23-24',a,120,>0&<200,1.3933,2.129904724,6.57,4.15,0.425,6.145,3.725,0.317795951161855,0.234918850763684
en617,14',20-21-22-23-24',b,120,>0&<200,1.3933,2.129904724,6.69,4.19,0.425,6.265,3.765,0.328301602439933,0.230348391989504
