"cruise","cast","niskin","replicate","vol_filtered","filter_size","tau_calibration","fd_calibration","rb","ra","blank","rb_blank","ra_blank","chl","phaeo","quality_flag","date","latitude","longitude","depth"
"AR22",1,1,"a",535,">0",1.8682,0.5122,163.3,104.2,0.789166666666667,162.510833333333,103.410833333333,1.21752211717443,0.632066728927126,1,2017-09-02 15:24:59,41.1298333333333,-70.8313333333333,27.7390517780828
"AR22",1,1,"b",535,">0",1.90201556461163,0.484236891939179,355.8,222,0.660333333333333,355.139666666667,221.339666666667,1.27682166805048,0.628408342852477,1,2017-09-02 15:24:59,41.1298333333333,-70.8313333333333,27.7390517780828
"AR22",1,2,"a",535,">0",1.90201556461163,0.484236891939179,345.8,212.1,0.66033,345.13967,211.43967,1.27586739176644,0.544146213775352,3,2017-09-02 15:27:23,41.1298333333333,-70.8313333333333,20.6999711663526
"AR22",1,2,"b",535,">0",1.8682,0.5122,198.3,125.3,0.789166666666667,197.510833333333,124.510833333333,1.50387672679752,0.723103185547027,1,2017-09-02 15:27:23,41.1298333333333,-70.8313333333333,20.6999711663526
"AR22",1,3,"a",535,">0",1.90201556461163,0.484236891939179,414,248.5,0.66033,413.33967,247.83967,1.57932725009234,0.554007385707026,1,2017-09-02 15:28:52,41.1298333333333,-70.8313333333333,12.6367266894428
"AR22",1,3,"b",535,">0",1.90201556461163,0.484236891939179,397.5,243.2,0.66033,396.83967,242.53967,1.47244830627944,0.615265410279121,1,2017-09-02 15:28:52,41.1298333333333,-70.8313333333333,12.6367266894428
"AR22",1,4,"a",535,">0",1.90201556461163,0.484236891939179,304.3,184.6,0.66033,303.63967,183.93967,1.14226871200032,0.441032576725998,1,2017-09-02 15:30:00,41.1298333333333,-70.8313333333333,2.86952624031379
"AR22",1,4,"b",535,">0",1.90201556461163,0.484236891939179,297.6,180.2,0.66033,296.93967,179.53967,1.12032035746731,0.425106960568527,1,2017-09-02 15:30:00,41.1298333333333,-70.8313333333333,2.86952624031379
"AR22",1,4,"a",535,"<10",1.90201556461163,0.484236891939179,249.8,149.3,0.879333333333333,248.920666666667,148.420666666667,0.959047665463927,0.318515966171122,2,2017-09-02 15:30:00,41.1298333333333,-70.8313333333333,2.86952624031379
"AR22",1,4,"b",535,"<10",1.90201556461163,0.484236891939179,182.6,114.1,0.66033,181.93967,113.43967,0.653679254569941,0.322777731047616,2,2017-09-02 15:30:00,41.1298333333333,-70.8313333333333,2.86952624031379
"AR22",2,1,"a",535,">0",1.90201556461163,0.484236891939179,267.4,163.7,0.66033,266.73967,163.03967,0.989584506553326,0.413815421393231,1,2017-09-02 17:47:48,40.7963333333333,-70.8283333333333,50.7481206742467
"AR22",2,1,"b",535,">0",1.90201556461163,0.484236891939179,263.3,160.7,0.66033,262.63967,160.03967,0.979087467428845,0.398489298683296,1,2017-09-02 17:47:48,40.7963333333333,-70.8283333333333,50.7481206742467
"AR22",2,2,"a",535,">0",1.90201556461163,0.484236891939179,146.6,95.89,0.493,146.107,95.397,0.483913503638565,0.337237219534009,1,2017-09-02 17:49:24,40.7963333333333,-70.8283333333333,40.8336315037024
"AR22",2,2,"b",535,">0",1.90201556461163,0.484236891939179,166.3,104.5,0.66033,165.63967,103.83967,0.589742743539012,0.304080124208415,1,2017-09-02 17:49:24,40.7963333333333,-70.8283333333333,40.8336315037024
"AR22",2,3,"a",535,">0",1.90201556461163,0.484236891939179,371.7,234.1,0.66033,371.03967,233.43967,1.31308416684414,0.696299292150027,1,2017-09-02 17:51:48,40.7963333333333,-70.8283333333333,33.9009417278983
"AR22",2,3,"b",535,">0",1.90201556461163,0.484236891939179,384.7,239.3,0.66033,384.03967,238.63967,1.38751771699955,0.666625889174271,1,2017-09-02 17:51:48,40.7963333333333,-70.8283333333333,33.9009417278983
"AR22",2,4,"a",535,">0",1.90201556461163,0.484236891939179,335,208.4,0.66033,334.33967,207.73967,1.20811377559934,0.58005126368001,1,2017-09-02 17:54:11,40.7963333333333,-70.8283333333333,22.8555745995723
"AR22",2,4,"b",535,">0",1.90201556461163,0.484236891939179,330.9,208.5,0.66033,330.23967,207.83967,1.1680341716695,0.620991639670993,1,2017-09-02 17:54:11,40.7963333333333,-70.8283333333333,22.8555745995723
"AR22",2,5,"a",535,">0",1.90201556461163,0.484236891939179,217.4,134,0.66033,216.73967,133.33967,0.795866420892453,0.351884204893392,1,2017-09-02 17:56:00,40.7963333333333,-70.8283333333333,12.7710593393928
"AR22",2,5,"b",535,">0",1.8682,0.5122,187.4,118.4,0.789166666666667,186.610833333333,117.610833333333,0.710736261294719,0.341047572671948,1,2017-09-02 17:56:00,40.7963333333333,-70.8283333333333,12.7710593393928
"AR22",2,6,"a",540,">0",1.90201556461163,0.484236891939179,192.6,116.7,0.789166666666667,191.810833333333,115.910833333333,0.717589257926312,0.270900588387148,2,2017-09-02 17:57:29,40.7963333333333,-70.8283333333333,2.79321023498868
"AR22",2,6,"b",540,">0",1.90201556461163,0.484236891939179,185.6,112.8,0.87933,184.72067,111.92067,0.688280605758044,0.266181049861718,1,2017-09-02 17:57:29,40.7963333333333,-70.8283333333333,2.79321023498868
"AR22",2,6,"a",540,"<10",1.90201556461163,0.484236891939179,165,100.7,0.493,164.507,100.207,0.607918172393437,0.246649077111855,1,2017-09-02 17:57:29,40.7963333333333,-70.8283333333333,2.79321023498868
"AR22",2,6,"b",540,"<10",1.8682,0.5122,158.4,100.4,0.87933,157.52067,99.52067,0.591898716800191,0.289865514111539,2,2017-09-02 17:57:29,40.7963333333333,-70.8283333333333,2.79321023498868
"AR22",3,1,"a",535,">0",1.90201556461163,0.484236891939179,103.9,71.56,0.87933,103.02067,70.68067,0.308612950259735,0.2997865097319,2,2017-09-02 20:03:40,40.5008333333333,-70.8315,69.5389859039177
"AR22",3,1,"b",535,">0",1.90201556461163,0.484236891939179,108,77.8,0.66033,107.33967,77.13967,0.2881914377812,0.375805289639931,1,2017-09-02 20:03:40,40.5008333333333,-70.8315,69.5389859039177
"AR22",3,2,"a",535,">0",1.90201556461163,0.484236891939179,124.7,83.43,0.66033,124.03967,82.76967,0.393829822424839,0.318628372038879,2,2017-09-02 20:05:37,40.5008333333333,-70.8315,58.4069550078801
"AR22",3,2,"b",535,">0",1.90201556461163,0.484236891939179,123.4,82.22,0.87933,122.52067,81.34067,0.392970973769199,0.307186787940725,1,2017-09-02 20:05:37,40.5008333333333,-70.8315,58.4069550078801
"AR22",3,3,"a",535,">0",1.90201556461163,0.484236891939179,92.73,61.74,0.66033,92.06967,61.07967,0.295730220425145,0.230026513975749,1,2017-09-02 20:07:23,40.5008333333333,-70.8315,50.4121922981365
"AR22",3,3,"b",535,">0",1.90201556461163,0.484236891939179,88.81,60.01,0.493,88.317,59.517,0.274831569804588,0.237474137828378,1,2017-09-02 20:07:23,40.5008333333333,-70.8315,50.4121922981365
"AR22",3,4,"a",535,">0",1.90201556461163,0.484236891939179,208.7,137.7,0.66033,208.03967,137.03967,0.677536161671033,0.502063030377257,1,2017-09-02 20:09:15,40.5008333333333,-70.8315,30.524622146829
"AR22",3,4,"b",535,">0",1.90201556461163,0.484236891939179,214.8,139.4,0.87933,213.92067,138.52067,0.719524318168956,0.472822908104924,1,2017-09-02 20:09:15,40.5008333333333,-70.8315,30.524622146829
"AR22",3,5,"a",535,">0",1.90201556461163,0.484236891939179,466.1,301,0.493,465.607,300.507,1.57551014495616,1.01117015283539,1,2017-09-02 20:11:53,40.5008333333333,-70.8315,22.3561302634268
"AR22",3,5,"b",535,">0",1.90201556461163,0.484236891939179,465.6,296.9,0.87933,464.72067,296.02067,1.60986409118174,0.938199131398948,1,2017-09-02 20:11:53,40.5008333333333,-70.8315,22.3561302634268
"AR22",3,6,"a",540,">0",1.90201556461163,0.484236891939179,148.4,96.64,0.87933,147.52067,95.76067,0.489359947170829,0.327288913414598,1,2017-09-02 20:13:48,40.5008333333333,-70.8315,2.53330815972205
"AR22",3,6,"b",540,">0",1.90201556461163,0.484236891939179,154.8,99.94,0.66033,154.13967,99.27967,0.518668599339098,0.327990361848175,1,2017-09-02 20:13:48,40.5008333333333,-70.8315,2.53330815972205
"AR22",3,6,"a",540,"<10",1.90201556461163,0.484236891939179,133.4,85.49,0.66033,132.73967,84.82967,0.452960492058625,0.270468587430249,1,2017-09-02 20:13:48,40.5008333333333,-70.8315,2.53330815972205
"AR22",4,1,"a",535,">0",1.90201556461163,0.484236891939179,114.7,76.89,0.66033,114.03967,76.22967,0.360811862996926,0.295351838667766,1,2017-09-02 21:06:41,40.42,-70.8281666666667,77.129859358522
"AR22",4,1,"b",535,">0",1.90201556461163,0.484236891939179,117,80.2,0.66033,116.33967,79.53967,0.351173672528085,0.333481584360579,1,2017-09-02 21:06:41,40.42,-70.8281666666667,77.129859358522
"AR22",4,2,"a",535,">0",1.90201556461163,0.484236891939179,386.7,251.4,0.66033,386.03967,250.73967,1.29113581231114,0.867161213261495,1,2017-09-02 21:08:50,40.42,-70.8281666666667,66.3572556128455
"AR22",4,2,"b",535,">0",1.90201556461163,0.484236891939179,437.9,279.9,0.66033,437.23967,279.23967,1.50775652878906,0.895860534210518,1,2017-09-02 21:08:50,40.42,-70.8281666666667,66.3572556128455
"AR22",4,3,"a",535,">0",1.90201556461163,0.484236891939179,68.91,47.85,0.66033,68.24967,47.18967,0.200970585419605,0.205224909687946,1,2017-09-02 21:10:45,40.42,-70.8281666666667,50.3500640759157
"AR22",4,3,"b",535,">0",1.90201556461163,0.484236891939179,80.24,53.47,0.87933,79.36067,52.59067,0.255459761238501,0.19722603289161,1,2017-09-02 21:10:45,40.42,-70.8281666666667,50.3500640759157
"AR22",4,4,"a",535,">0",1.90201556461163,0.484236891939179,262.2,166.4,0.87933,261.32067,165.52067,0.914196680113873,0.510559002669746,1,2017-09-02 21:12:23,40.42,-70.8281666666667,30.437537559696
"AR22",4,4,"b",535,">0",1.90201556461163,0.484236891939179,253.2,162.2,0.87933,252.32067,161.32067,0.868391418479775,0.520211837735662,1,2017-09-02 21:12:23,40.42,-70.8281666666667,30.437537559696
"AR22",4,5,"a",535,">0",1.90201556461163,0.484236891939179,315.2,202,0.66033,314.53967,201.33967,1.08024075353748,0.652834873828448,1,2017-09-02 21:13:59,40.42,-70.8281666666667,19.2844460514256
"AR22",4,5,"b",535,">0",1.8682,0.5122,144.2,92.3,0.789166666666667,143.410833333333,91.5108333333333,1.06919454959988,0.567552889473639,1,2017-09-02 21:13:59,40.42,-70.8281666666667,19.2844460514256
"AR22",4,6,"a",540,">0",1.90201556461163,0.484236891939179,166.5,103.6,0.87933,165.62067,102.72067,0.59468200689809,0.281321869370442,1,2017-09-02 21:15:37,40.42,-70.8281666666667,2.11755774596993
"AR22",4,6,"b",540,">0",1.90201556461163,0.484236891939179,175.7,111.3,0.493,175.207,110.807,0.608863612785962,0.336100643363138,1,2017-09-02 21:15:37,40.42,-70.8281666666667,2.11755774596993
"AR22",4,6,"a",540,"<10",1.90201556461163,0.484236891939179,145.6,91.95,0.66033,144.93967,91.28967,0.507228770589548,0.271291314835081,1,2017-09-02 21:15:37,40.42,-70.8281666666667,2.11755774596993
"AR22",4,6,"b",540,"<10",1.90201556461163,0.484236891939179,140.7,89.33,0.66033,140.03967,88.66967,0.485672729639982,0.270503944708535,1,2017-09-02 21:15:37,40.42,-70.8281666666667,2.11755774596993
"AR22",5,1,"a",535,">0",1.90201556461163,0.484236891939179,61.21,43.55,0.493,60.717,43.057,0.168525191762119,0.202097434606021,2,2017-09-02 22:20:18,40.3296666666667,-70.8293333333333,94.1454323392399
"AR22",5,1,"b",535,">0",1.8682,0.5122,27.05,20.55,0.789166666666667,26.2608333333333,19.7608333333333,0.133906831838135,0.219532123683983,1,2017-09-02 22:20:18,40.3296666666667,-70.8293333333333,94.1454323392399
"AR22",5,2,"a",535,">0",1.90201556461163,0.484236891939179,51.99,39.48,0.87933,51.11067,38.60067,0.119379963133868,0.212883819641752,2,2017-09-02 22:22:14,40.3296666666667,-70.8293333333333,70.1937782193896
"AR22",5,2,"b",535,">0",1.90201556461163,0.484236891939179,57.48,41.61,0.493,56.987,41.117,0.151443646277737,0.202480002104149,1,2017-09-02 22:22:14,40.3296666666667,-70.8293333333333,70.1937782193896
"AR22",5,3,"a",535,">0",1.90201556461163,0.484236891939179,114.4,73.1,0.87933,113.52067,72.22067,0.394116105310052,0.22753924442325,1,2017-09-02 22:24:44,40.3296666666667,-70.8293333333333,48.4109834796382
"AR22",5,3,"b",535,">0",1.90201556461163,0.484236891939179,110.7,70.73,0.66033,110.03967,70.06967,0.38142423073227,0.221715911965755,1,2017-09-02 22:24:44,40.3296666666667,-70.8293333333333,48.4109834796382
"AR22",5,4,"a",535,">0",1.90201556461163,0.484236891939179,819.2,532.8,0.493,818.707,532.307,2.73304727750118,1.84890265802952,1,2017-09-02 22:27:13,40.3296666666667,-70.8293333333333,38.4493294544489
"AR22",5,4,"b",535,">0",1.90201556461163,0.484236891939179,479.8,308.5,0.66033,479.13967,307.83967,3.26935054913375,2.03024519584159,1,2017-09-02 22:27:13,40.3296666666667,-70.8293333333333,38.4493294544489
"AR22",5,5,"a",535,">0",1.90201556461163,0.484236891939179,126.8,81.98,0.493,126.307,81.487,0.42770663050839,0.273710698958611,1,2017-09-02 22:28:42,40.3296666666667,-70.8293333333333,27.5198223114088
"AR22",5,5,"b",535,">0",1.90201556461163,0.484236891939179,120.8,79.57,0.66033,120.13967,78.90967,0.393448111911221,0.285784280992215,1,2017-09-02 22:28:42,40.3296666666667,-70.8293333333333,27.5198223114088
"AR22",5,6,"a",540,">0",1.90201556461163,0.484236891939179,45.17,28.07,0.87933,44.29067,27.19067,0.161670307121738,0.070212256712186,1,2017-09-02 22:30:33,40.3296666666667,-70.8293333333333,2.58891623479985
"AR22",5,6,"b",540,">0",1.90201556461163,0.484236891939179,44.24,27.67,0.66033,43.57967,27.00967,0.156659473041357,0.0736795192640269,1,2017-09-02 22:30:33,40.3296666666667,-70.8293333333333,2.58891623479985
"AR22",5,6,"a",540,"<10",1.90201556461163,0.484236891939179,36.32,22.99,0.66033,35.65967,22.32967,0.126027204323554,0.0644006567466391,1,2017-09-02 22:30:33,40.3296666666667,-70.8293333333333,2.58891623479985
"AR22",5,6,"b",540,"<10",1.90201556461163,0.484236891939179,37.5,23.34,0.87933,36.62067,22.46067,0.13387435958151,0.057670672042489,1,2017-09-02 22:30:33,40.3296666666667,-70.8293333333333,2.58891623479985
"AR22",6,1,"a",535,">0",1.90201556461163,0.484236891939179,25.72,18.83,0.87933,24.84067,17.95067,0.0657496359706115,0.0887647161781165,1,2017-09-02 23:31:56,40.2498333333333,-70.8303333333333,113.233561086989
"AR22",6,1,"b",535,">0",1.90201556461163,0.484236891939179,26.58,19.1,0.66033,25.91967,18.43967,0.0713798660464694,0.0873436614812685,1,2017-09-02 23:31:56,40.2498333333333,-70.8303333333333,113.233561086989
"AR22",6,2,"a",535,">0",1.90201556461163,0.484236891939179,32.26,23.76,0.493,31.767,23.267,0.0811134841437152,0.119162351323399,1,2017-09-02 23:34:14,40.2498333333333,-70.8303333333333,92.1723068520109
"AR22",6,2,"b",535,">0",1.90201556461163,0.484236891939179,30.06,22.24,0.493,29.567,21.747,0.074624405412218,0.112567694725459,1,2017-09-02 23:34:14,40.2498333333333,-70.8303333333333,92.1723068520109
"AR22",6,3,"a",535,">0",1.90201556461163,0.484236891939179,44.14,31.91,0.66033,43.47967,31.24967,0.116707989538546,0.152280439022146,1,2017-09-02 23:36:12,40.2498333333333,-70.8303333333333,69.5276798087705
"AR22",6,3,"b",535,">0",1.90201556461163,0.484236891939179,45.8,33.3,0.493,45.307,32.807,0.119284535505464,0.163108954595091,1,2017-09-02 23:36:12,40.2498333333333,-70.8303333333333,69.5276798087705
"AR22",6,4,"a",535,">0",1.90201556461163,0.484236891939179,523,335.4,0.493,522.507,334.907,3.58044461773199,2.18512715592036,1,2017-09-02 23:38:21,40.2498333333333,-70.8303333333333,44.5540885168434
"AR22",6,4,"b",535,">0",1.90201556461163,0.484236891939179,528.5,340.2,0.493,528.007,339.707,3.59380448570861,2.25440140581388,1,2017-09-02 23:38:21,40.2498333333333,-70.8303333333333,44.5540885168434
"AR22",6,5,"a",535,">0",1.90201556461163,0.484236891939179,104.9,66.38,0.66033,104.23967,65.71967,0.367587224613637,0.198109333424487,1,2017-09-02 23:39:59,40.2498333333333,-70.8303333333333,31.3180602776253
"AR22",6,6,"a",540,">0",1.90201556461163,0.484236891939179,43.17,27.67,0.66033,42.50967,27.00967,0.146543260841342,0.0837957314640421,1,2017-09-02 23:41:44,40.2498333333333,-70.8303333333333,2.45795100391725
"AR22",6,6,"b",540,">0",1.90201556461163,0.484236891939179,44.48,28.33,0.493,43.987,27.837,0.152688623392753,0.0847058552811802,1,2017-09-02 23:41:44,40.2498333333333,-70.8303333333333,2.45795100391725
"AR22",6,6,"a",540,"<10",1.90201556461163,0.484236891939179,35.76,22.97,0.66033,35.09967,22.30967,0.12092182620392,0.069335474476379,1,2017-09-02 23:41:44,40.2498333333333,-70.8303333333333,2.45795100391725
"AR22",6,6,"b",540,"<10",1.90201556461163,0.484236891939179,38.89,25.06,0.493,38.397,24.567,0.130754406286178,0.0787534486400899,1,2017-09-02 23:41:44,40.2498333333333,-70.8303333333333,2.45795100391725
"AR22",7,2,"a",535,">0",1.90201556461163,0.484236891939179,26.51,18.68,0.66033,25.84967,18.01967,0.0747198330406224,0.0803884518302973,1,2017-09-03 00:47:11,40.1706666666667,-70.8303333333333,102.228363603573
"AR22",7,2,"b",535,">0",1.90201556461163,0.484236891939179,27.1,18.83,0.493,26.607,18.337,0.0789186486904147,0.0789211241621432,1,2017-09-03 00:47:11,40.1706666666667,-70.8303333333333,102.228363603573
"AR22",7,3,"a",535,">0",1.90201556461163,0.484236891939179,48.26,35.32,0.493,47.767,34.827,0.123483351155256,0.176297734580472,1,2017-09-03 00:49:41,40.1706666666667,-70.8303333333333,67.3448084213193
"AR22",7,3,"b",535,">0",1.90201556461163,0.484236891939179,40.9,29.51,0.493,40.407,29.017,0.108692068752578,0.141078160230498,1,2017-09-03 00:49:41,40.1706666666667,-70.8303333333333,67.3448084213193
"AR22",7,4,"a",535,">0",1.90201556461163,0.484236891939179,485.3,298.7,0.87933,484.42067,297.82067,1.78067954602556,0.782877573655774,1,2017-09-03 00:51:33,40.1706666666667,-70.8303333333333,47.3957833431745
"AR22",7,4,"b",535,">0",1.90201556461163,0.484236891939179,522.4,317.5,0.66033,521.73967,316.83967,1.95531210600556,0.771955251985358,1,2017-09-03 00:51:33,40.1706666666667,-70.8303333333333,47.3957833431745
"AR22",7,5,"a",535,">0",1.90201556461163,0.484236891939179,71.15,45.84,0.493,70.657,45.347,0.241527327491463,0.148806979076948,1,2017-09-03 00:53:24,40.1706666666667,-70.8303333333333,33.393896797382
"AR22",7,5,"b",535,">0",1.90201556461163,0.484236891939179,70.15,44.9,0.493,69.657,44.407,0.240954761721037,0.141288287472591,1,2017-09-03 00:53:24,40.1706666666667,-70.8303333333333,33.393896797382
"AR22",7,6,"a",540,">0",1.90201556461163,0.484236891939179,47.3,29.83,0.493,46.807,29.337,0.16516843657408,0.0850180713419014,1,2017-09-03 00:55:24,40.1706666666667,-70.8303333333333,2.48178416734607
"AR22",7,6,"b",540,">0",1.90201556461163,0.484236891939179,44.06,28.34,0.87933,43.18067,27.46067,0.148623229704896,0.0855618993925968,1,2017-09-03 00:55:24,40.1706666666667,-70.8303333333333,2.48178416734607
"AR22",7,6,"a",540,"<10",1.90201556461163,0.484236891939179,36.92,23.5,0.493,36.427,23.007,0.126878100676826,0.0693260438377112,1,2017-09-03 00:55:24,40.1706666666667,-70.8303333333333,2.48178416734607
"AR22",7,6,"b",540,"<10",1.90201556461163,0.484236891939179,35.17,22.66,0.66033,34.50967,21.99967,0.118274593104851,0.0693390215320917,1,2017-09-03 00:55:24,40.1706666666667,-70.8303333333333,2.48178416734607
"AR22",8,1,"a",535,">0",1.90201556461163,0.484236891939179,18.16,14.35,0.87933,17.28067,13.47067,0.0363579264220653,0.0795938373872692,1,2017-09-03 02:02:04,40.0793333333333,-70.8293333333333,139.155894554827
"AR22",8,1,"b",535,">0",1.90201556461163,0.484236891939179,20.27,15.3,0.493,19.777,14.807,0.0474275313169723,0.0800269877770903,1,2017-09-03 02:02:04,40.0793333333333,-70.8293333333333,139.155894554827
"AR22",8,3,"a",535,">0",1.90201556461163,0.484236891939179,17.34,12.6,0.493,16.847,12.107,0.0452326958636718,0.058980977579417,1,2017-09-03 02:05:21,40.0793333333333,-70.8293333333333,102.376004303971
"AR22",8,3,"b",535,">0",1.90201556461163,0.484236891939179,19.78,14.97,0.493,19.287,14.477,0.0459006892625024,0.0787132820297745,1,2017-09-03 02:05:21,40.0793333333333,-70.8293333333333,102.376004303971
"AR22",8,4,"a",535,">0",1.90201556461163,0.484236891939179,93.14,60.52,0.493,92.647,60.027,0.311284923855058,0.205410721289759,1,2017-09-03 02:07:40,40.0793333333333,-70.8293333333333,59.4796128047228
"AR22",8,4,"b",535,">0",1.90201556461163,0.484236891939179,90.36,58.34,0.493,89.867,57.847,0.305559266150796,0.192371548061012,1,2017-09-03 02:07:40,40.0793333333333,-70.8293333333333,59.4796128047228
"AR22",8,5,"a",535,">0",1.90201556461163,0.484236891939179,446.6,290.4,0.493,446.107,289.907,1.49057955567627,1.00485890363368,1,2017-09-03 02:09:31,40.0793333333333,-70.8293333333333,36.272436329883
"AR22",8,5,"b",535,">0",1.90201556461163,0.484236891939179,487.7,298.9,0.493,487.207,298.407,1.80167362427452,0.766930460232936,1,2017-09-03 02:09:31,40.0793333333333,-70.8293333333333,36.272436329883
"AR22",8,6,"a",535,">0",1.90201556461163,0.484236891939179,73.67,46.87,0.493,73.177,46.377,0.255746044123714,0.143454214674513,1,2017-09-03 02:10:54,40.0793333333333,-70.8293333333333,25.2304444049161
"AR22",8,6,"b",535,">0",1.90201556461163,0.484236891939179,63.43,40.62,0.493,62.937,40.127,0.21767042039037,0.127731584586158,1,2017-09-03 02:10:54,40.0793333333333,-70.8293333333333,25.2304444049161
"AR22",8,7,"a",540,">0",1.90201556461163,0.484236891939179,51.37,32.79,0.493,50.877,32.297,0.175662824931105,0.0997666206891849,1,2017-09-03 02:12:40,40.0793333333333,-70.8293333333333,2.33593384114183
"AR22",8,7,"b",540,">0",1.90201556461163,0.484236891939179,53.98,34.3,0.493,53.487,33.807,0.186062669248878,0.102244085808408,1,2017-09-03 02:12:40,40.0793333333333,-70.8293333333333,2.33593384114183
"AR22",8,7,"a",540,"<10",1.90201556461163,0.484236891939179,39.96,25.13,0.493,39.467,24.637,0.140208810211426,0.069896006079471,1,2017-09-03 02:12:40,40.0793333333333,-70.8293333333333,2.33593384114183
"AR22",8,7,"b",540,"<10",1.90201556461163,0.484236891939179,35.17,22.66,0.66033,34.50967,21.99967,0.118274593104851,0.0693390215320917,1,2017-09-03 02:12:40,40.0793333333333,-70.8293333333333,2.33593384114183
"AR22",9,3,"a",535,">0",1.90201556461163,0.484236891939179,7.557,5.931,0.87933,6.67767,5.05167,0.0155165323785507,0.0279668316028029,2,2017-09-03 03:12:17,39.9995,-70.8298333333333,201.659911209377
"AR22",9,3,"b",535,">0",1.90201556461163,0.484236891939179,4.777,3.942,0.66033,4.11667,3.28167,0.00796820697176496,0.0202794915272836,2,2017-09-03 03:12:17,39.9995,-70.8298333333333,201.659911209377
"AR22",9,4,"a",535,">0",1.90201556461163,0.484236891939179,4.915,4.257,0.493,4.422,3.764,0.0062791379490076,0.0261203224325722,1,2017-09-03 03:15:00,39.9995,-70.8298333333333,151.790317137474
"AR22",9,4,"b",535,">0",1.90201556461163,0.484236891939179,4.678,4.101,0.493,4.185,3.608,0.00550617415893219,0.025550481807258,1,2017-09-03 03:15:00,39.9995,-70.8298333333333,151.790317137474
"AR22",9,5,"a",535,">0",1.90201556461163,0.484236891939179,23.09,16.15,0.87933,22.21067,15.27067,0.0662267741126334,0.0652188867973503,1,2017-09-03 03:17:33,39.9995,-70.8298333333333,101.96711595126
