"cruise","cast","niskin","replicate","vol_filtered","filter_size","tau_calibration","fd_calibration","rb","ra","blank","rb_blank","ra_blank","chl","phaeo","quality_flag","date","latitude","longitude","depth"
"EN655",15,11,"a",551,">20",1.83432811861417,0.544195338793914,93.14,58.74,0.327285714285714,92.8127142857143,58.4127142857143,0.373483834194257,0.155640376659988,1,2020-07-27 21:34:24,40.09574,-70.8818,32.954
"EN655",15,11,"b",551,">20",1.83432811861417,0.544195338793914,109.6,67.7,0.327285714285714,109.272714285714,67.3727142857143,0.454911995719167,0.155375245944853,1,2020-07-27 21:34:24,40.09574,-70.8818,32.954
"EN655",15,15,"a",290,">0",1.83824093809426,0.561872085808137,35.69,23.12,0.58,35.11,22.54,0.267041222365093,0.134348093637754,1,2020-07-27 21:37:01,40.09537,-70.88194,24.923
"EN655",15,15,"b",290,">0",1.83824093809426,0.561872085808137,36.07,23.89,0.4865,35.5835,23.4035,0.258755933843026,0.158010475077676,1,2020-07-27 21:37:01,40.09537,-70.88194,24.923
"EN655",15,19,"a",290,">0",1.83824093809426,0.561872085808137,23.85,15.43,0.58,23.27,14.85,0.178877254758479,0.0855695661218344,1,2020-07-27 21:38:46,40.09502,-70.88204,10.131
"EN655",15,19,"b",290,">0",1.83824093809426,0.561872085808137,20.91,13.01,0.4865,20.4235,12.5235,0.167830203395723,0.0551866155466751,1,2020-07-27 21:38:46,40.09502,-70.88204,10.131
"EN655",15,22,"a",290,">0",1.83824093809426,0.561872085808137,10.19,6.528,0.58,9.61,5.948,0.0777967347892578,0.0281244564966752,1,2020-07-27 21:40:29,40.09469,-70.88224,1.801
"EN655",15,22,"b",290,">0",1.83824093809426,0.561872085808137,10.1,6.424,0.4865,9.6135,5.9375,0.0780941554028705,0.0276400532824401,1,2020-07-27 21:40:29,40.09469,-70.88224,1.801
"EN655",15,22,"a",290,"<10",1.83824093809426,0.561872085808137,8.461,5.419,0.769666666666667,7.69133333333333,4.64933333333333,0.0646252504721252,0.018169457892378,1,2020-07-27 21:40:29,40.09469,-70.88224,1.801
"EN655",15,22,"b",290,"<10",1.83824093809426,0.561872085808137,8.735,5.592,0.769666666666667,7.96533333333333,4.82233333333333,0.0667709277560452,0.0191045415520469,1,2020-07-27 21:40:29,40.09469,-70.88224,1.801
"EN655",15,22,"a",293,">5",1.83432811861417,0.544195338793914,1.434,0.972,0.327285714285714,1.10671428571429,0.644714285714286,0.00943277162871641,0.00154973612460777,1,2020-07-27 21:40:29,40.09469,-70.88224,1.801
"EN655",15,22,"b",293,">5",1.83432811861417,0.544195338793914,1.121,0.905,0.327285714285714,0.793714285714286,0.577714285714286,0.00441012699524403,0.00543105655326981,1,2020-07-27 21:40:29,40.09469,-70.88224,1.801
"EN655",15,22,"a",550,">20",1.83432811861417,0.544195338793914,2.9,1.896,0.731833333333333,2.16816666666667,1.16416666666667,0.0109203356771459,-0.00035570508381318,1,2020-07-27 21:40:29,40.09469,-70.88224,1.801
"EN655",15,22,"b",552,">20",1.83432811861417,0.544195338793914,3.253,2.329,0.731833333333333,2.52116666666667,1.59716666666667,0.0100137756783112,0.00442774762647977,1,2020-07-27 21:40:29,40.09469,-70.88224,1.801
"EN655",16,1,"a",290,">0",1.83824093809426,0.561872085808137,14.74,12.62,0.4865,14.2535,12.1335,0.0450379786327763,0.171033772286502,1,2020-07-28 01:58:25,40.36712,-70.87332,89.344
"EN655",16,1,"b",290,">0",1.83824093809426,0.561872085808137,14.86,12.68,0.4865,14.3735,12.1935,0.046312638405402,0.170827584517433,1,2020-07-28 01:58:25,40.36712,-70.87332,89.344
