cruise,cast,niskin,replicate,vol_filtered,filter_size,tau_calibration,fd_calibration,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,iode_quality_flag
EN627,3,8-10-11,a,152,>0&<200,2.154519162,0.324655349,,,2.46,,,,,4
EN627,3,8-10-11,b,152,>0&<200,2.154519162,0.324655349,,,2.46,,,,,4
EN627,3,8-10-11,c,152,>0&<200,2.154519162,0.324655349,288,166,2.46,285.54,163.54,2.918,1.598,1
EN627,3,8-10-11,a,152,>10&<200,2.154519162,0.324655349,,,2.46,,,,,4
EN627,3,8-10-11,b,152,>10&<200,2.154519162,0.324655349,,,2.46,,,,,4
EN627,3,8-10-11,c,152,>10&<200,2.154519162,0.324655349,199,100,2.46,196.54,97.54,2.368,0.326,3
EN627,3,8-10-11,a,152,>5&<200,2.154519162,0.324655349,241,123,2.46,238.54,120.54,2.822,0.506,1
EN627,3,8-10-11,b,152,>5&<200,2.154519162,0.324655349,231,122,2.46,228.54,119.54,2.607,0.694,1
EN627,3,8-10-11,c,152,>5&<200,2.154519162,0.324655349,,,2.46,,,,,4
EN627,3,8-10-11,a,152,>20&<200,2.154519162,0.324655349,213,108,2.46,210.54,105.54,2.511,0.403,1
EN627,3,8-10-11,b,152,>20&<200,2.154519162,0.324655349,189,95.5,2.46,186.54,93.04,2.236,0.333,1
EN627,3,8-10-11,c,152,>20&<200,2.154519162,0.324655349,208,105,2.46,205.54,102.54,2.463,0.368,1
EN627,8,9-10-11,a,152,>0&<200,2.154519162,0.324655349,304,172,2.79,301.21,169.21,3.157,1.515,1
EN627,8,9-10-11,b,152,>0&<200,2.154519162,0.324655349,297,168,2.79,294.21,165.21,3.085,1.476,1
EN627,8,9-10-11,c,152,>0&<200,2.154519162,0.324655349,313,170,2.79,310.21,167.21,3.420,1.197,1
EN627,8,9-10-11,a,152,>10&<200,2.154519162,0.324655349,259,129,2.79,256.21,126.21,3.109,0.376,1
EN627,8,9-10-11,b,152,>10&<200,2.154519162,0.324655349,,,2.79,,,,,4
EN627,8,9-10-11,c,152,>10&<200,2.154519162,0.324655349,259,129,2.79,256.21,126.21,3.109,0.376,1
EN627,8,9-10-11,a,152,>5&<200,2.154519162,0.324655349,275,135,2.79,272.21,132.21,3.348,0.302,1
EN627,8,9-10-11,b,152,>5&<200,2.154519162,0.324655349,,,2.79,,,,,4
EN627,8,9-10-11,c,152,>5&<200,2.154519162,0.324655349,238,117,2.79,235.21,114.21,2.894,0.260,1
EN627,8,9-10-11,a,152,>20&<200,2.154519162,0.324655349,284,139,2.79,281.21,136.21,3.468,0.293,1
EN627,8,9-10-11,b,152,>20&<200,2.154519162,0.324655349,236,131,2.79,233.21,128.21,2.511,1.029,1
EN627,8,9-10-11,c,152,>20&<200,2.154519162,0.324655349,260,127,2.79,257.21,124.21,3.181,0.249,1
EN627,11-12,11-12,a,152,>0&<200,2.154519162,0.324655349,207,129,2.10,204.905,126.905,1.865,1.639,1
EN627,11-12,11-12,b,152,>0&<200,2.154519162,0.324655349,200,123,2.10,197.905,120.905,1.841,1.497,1
EN627,11-12,11-12,c,152,>0&<200,2.154519162,0.324655349,,,2.10,,,,,4
EN627,11-12,11-12,a,152,>10&<200,2.154519162,0.324655349,153,84.2,2.10,150.905,82.105,1.645,0.622,1
EN627,11-12,11-12,b,152,>10&<200,2.154519162,0.324655349,140,75.1,2.10,137.905,73.005,1.552,0.464,1
EN627,11-12,11-12,c,152,>10&<200,2.154519162,0.324655349,183,91.5,2.10,180.905,89.405,2.188,0.280,4
EN627,11-12,11-12,a,152,>5&<200,2.154519162,0.324655349,176,95.3,2.10,173.905,93.205,1.930,0.643,3
EN627,11-12,11-12,b,152,>5&<200,2.154519162,0.324655349,,,2.10,,,,,4
EN627,11-12,11-12,c,152,>5&<200,2.154519162,0.324655349,191,97.7,2.10,188.905,95.605,2.231,0.408,3
EN627,11-12,11-12,a,152,>20&<200,2.154519162,0.324655349,138,90.8,2.10,135.905,88.705,1.129,1.320,1
EN627,11-12,11-12,b,152,>20&<200,2.154519162,0.324655349,152,86.8,2.10,149.905,84.705,1.559,0.779,1
EN627,11-12,11-12,c,152,>20&<200,2.154519162,0.324655349,147,85.3,2.10,144.905,83.205,1.476,0.822,1
EN627,18-19,11-12,a,152,>0&<200,2.154519162,0.324655349,116,64.1,2.44,113.56,61.66,1.241,0.461,1
EN627,18-19,11-12,b,152,>0&<200,2.154519162,0.324655349,115,62,2.44,112.56,59.56,1.268,0.377,1
EN627,18-19,11-12,c,152,>0&<200,2.154519162,0.324655349,120,63.5,2.44,117.56,61.06,1.351,0.335,1
