cruise,cast,niskin,replicate,vol_filtered,filter_size,tau_calibration,fd_calibration,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,iode_quality_flag
EN627,18-19,11-12,a,152,>10&<200,2.154519162,0.324655349,43.3,23.5,2.44,40.86,21.06,0.474,0.108,1
EN627,18-19,11-12,b,152,>10&<200,2.154519162,0.324655349,52.7,27.9,2.44,50.26,25.46,0.593,0.110,1
EN627,18-19,11-12,c,152,>10&<200,2.154519162,0.324655349,54.1,28.2,2.44,51.66,25.76,0.619,0.092,1
EN627,18-19,11-12,a,152,>5&<200,2.154519162,0.324655349,76.5,40.7,2.44,74.06,38.26,0.856,0.200,1
EN627,18-19,11-12,b,152,>5&<200,2.154519162,0.324655349,54.8,29.9,2.44,52.36,27.46,0.595,0.163,1
EN627,18-19,11-12,c,152,>5&<200,2.154519162,0.324655349,,,2.44,,,,,4
EN627,18-19,11-12,a,152,>20&<200,2.154519162,0.324655349,51,28.7,2.44,48.56,26.26,0.533,0.192,1
EN627,18-19,11-12,b,152,>20&<200,2.154519162,0.324655349,51.8,26.8,2.44,49.36,24.36,0.598,0.075,1
EN627,18-19,11-12,c,152,>20&<200,2.154519162,0.324655349,48.2,25.6,2.44,45.76,23.16,0.540,0.099,1
EN627,23-24,10-11-12,a,152,>0&<200,2.154519162,0.324655349,229,124,2.43,226.575,121.575,2.511,0.846,1
EN627,23-24,10-11-12,b,152,>0&<200,2.154519162,0.324655349,215,120,2.43,212.575,117.575,2.272,0.974,1
EN627,23-24,10-11-12,c,152,>0&<200,2.154519162,0.324655349,,,2.43,,,,,4
EN627,23-24,10-11-12,a,152,>10&<200,2.154519162,0.324655349,124,62.9,2.43,121.575,60.475,1.461,0.209,1
EN627,23-24,10-11-12,b,152,>10&<200,2.154519162,0.324655349,118,57.4,2.43,115.575,54.975,1.449,0.069,1
EN627,23-24,10-11-12,c,152,>10&<200,2.154519162,0.324655349,110,49.2,2.43,107.575,46.775,1.454,-0.163,3
EN627,23-24,10-11-12,a,152,>5&<200,2.154519162,0.324655349,,,2.43,,,,,4
EN627,23-24,10-11-12,b,152,>5&<200,2.154519162,0.324655349,,,2.43,,,,,4
EN627,23-24,10-11-12,c,152,>5&<200,2.154519162,0.324655349,115,57.4,2.43,112.575,54.975,1.378,0.140,1
EN627,23-24,10-11-12,a,152,>20&<200,2.154519162,0.324655349,71.9,40.6,2.43,69.475,38.175,0.749,0.305,1
EN627,23-24,10-11-12,b,152,>20&<200,2.154519162,0.324655349,97.9,49.1,2.43,95.475,46.675,1.167,0.122,1
EN627,23-24,10-11-12,c,152,>20&<200,2.154519162,0.324655349,88.1,42.5,2.43,85.675,40.075,1.091,0.016,1
EN627,25,1-2,a,152,>0&<200,2.154519162,0.324655349,142,86.4,2.39,139.61,84.01,1.330,0.990,3
EN627,25,1-2,b,152,>0&<200,2.154519162,0.324655349,114,71.7,2.39,111.61,69.31,1.012,0.902,3
EN627,25,1-2,c,152,>0&<200,2.154519162,0.324655349,135,81.1,2.39,132.61,78.71,1.289,0.884,3
EN627,25,1-2,a,152,>10&<200,2.154519162,0.324655349,91.6,46.6,2.39,89.21,44.21,1.076,0.144,3
EN627,25,1-2,b,152,>10&<200,2.154519162,0.324655349,104,52.1,2.39,101.61,49.71,1.241,0.131,3
EN627,25,1-2,c,152,>10&<200,2.154519162,0.324655349,85.5,43.5,2.39,83.11,41.11,1.004,0.131,3
EN627,25,1-2,a,152,>5&<200,2.154519162,0.324655349,126,63.1,2.39,123.61,60.71,1.504,0.172,3
EN627,25,1-2,b,152,>5&<200,2.154519162,0.324655349,102,52,2.39,99.61,49.61,1.196,0.174,3
EN627,25,1-2,c,152,>5&<200,2.154519162,0.324655349,127,62.7,2.39,124.61,60.31,1.538,0.127,3
EN627,25,1-2,a,152,>20&<200,2.154519162,0.324655349,102,51,2.39,99.61,48.61,1.220,0.122,3
EN627,25,1-2,b,152,>20&<200,2.154519162,0.324655349,83.5,42.3,2.39,81.11,39.91,0.985,0.117,3
EN627,25,1-2,c,152,>20&<200,2.154519162,0.324655349,106,53.5,2.39,103.61,51.11,1.256,0.156,3
EN627,25,5-6,a,152,>0&<200,2.154519162,0.324655349,197,127,2.39,194.61,124.61,1.674,1.767,1
EN627,25,5-6,b,152,>0&<200,2.154519162,0.324655349,,,2.39,,,,,4
EN627,25,5-6,c,152,>0&<200,2.154519162,0.324655349,177,108,2.39,174.61,105.61,1.650,1.266,1
EN627,25,5-6,a,152,>10&<200,2.154519162,0.324655349,95.7,49.6,2.39,93.31,47.21,1.103,0.201,1
EN627,25,5-6,b,152,>10&<200,2.154519162,0.324655349,99.9,50.9,2.39,97.51,48.51,1.172,0.168,1
EN627,25,5-6,c,152,>10&<200,2.154519162,0.324655349,112,57.3,2.39,109.61,54.91,1.308,0.208,1
EN627,25,5-6,a,152,>5&<200,2.154519162,0.324655349,145,73.4,2.39,142.61,71.01,1.712,0.248,1
EN627,25,5-6,b,152,>5&<200,2.154519162,0.324655349,98.4,48.8,2.39,96.01,46.41,1.186,0.095,1
EN627,25,5-6,c,152,>5&<200,2.154519162,0.324655349,145,72.9,2.39,142.61,70.51,1.724,0.223,1
EN627,25,5-6,a,152,>20&<200,2.154519162,0.324655349,96.3,51.6,2.39,93.91,49.21,1.069,0.290,1
EN627,25,5-6,b,152,>20&<200,2.154519162,0.324655349,87.2,43.5,2.39,84.81,41.11,1.045,0.090,1
EN627,25,5-6,c,152,>20&<200,2.154519162,0.324655349,102,51.4,2.39,99.61,49.01,1.210,0.143,1
EN627,25,9-10-11,a,152,>0&<200,2.154519162,0.324655349,207,119,2.39,204.61,116.61,2.105,1.115,1
EN627,25,9-10-11,b,152,>0&<200,2.154519162,0.324655349,,,2.39,,,,,4
EN627,25,9-10-11,c,152,>0&<200,2.154519162,0.324655349,245,138,2.39,242.61,135.61,2.559,1.185,1
EN627,25,9-10-11,a,152,>10&<200,2.154519162,0.324655349,100,51.8,2.39,97.61,49.41,1.153,0.212,1
EN627,25,9-10-11,b,152,>10&<200,2.154519162,0.324655349,121,61.3,2.39,118.61,58.91,1.428,0.199,1
EN627,25,9-10-11,c,152,>10&<200,2.154519162,0.324655349,139,68.8,2.39,136.61,66.41,1.679,0.155,1
EN627,25,9-10-11,a,152,>5&<200,2.154519162,0.324655349,151,76.2,2.39,148.61,73.81,1.789,0.249,1
EN627,25,9-10-11,b,152,>5&<200,2.154519162,0.324655349,117,59.8,2.39,114.61,57.41,1.368,0.217,1
EN627,25,9-10-11,c,152,>5&<200,2.154519162,0.324655349,143,71.7,2.39,140.61,69.31,1.705,0.209,1
EN627,25,9-10-11,a,152,>20&<200,2.154519162,0.324655349,108,55.3,2.39,105.61,52.91,1.260,0.201,1
EN627,25,9-10-11,b,152,>20&<200,2.154519162,0.324655349,97.5,49,2.39,95.11,46.61,1.160,0.127,1
EN627,25,9-10-11,c,152,>20&<200,2.154519162,0.324655349,134,66.7,2.39,131.61,64.31,1.610,0.166,1
EN627,30,1-2-3-4,a,152,>0,2.154519162,0.324655349,236,142,2.34,233.66,139.66,2.248,1.608,1
EN627,30,1-2-3-4,b,152,>0,2.154519162,0.324655349,231,126,2.34,228.66,123.66,2.511,0.903,1
EN627,30,1-2-3-4,c,152,>0,2.154519162,0.324655349,207,122,2.34,204.66,119.66,2.033,1.271,1
EN627,30,1-2-3-4,a,152,>0&<200,2.154519162,0.324655349,229,135,2.34,226.66,132.66,2.248,1.415,1
EN627,30,1-2-3-4,b,152,>0&<200,2.154519162,0.324655349,242,128,2.34,239.66,125.66,2.726,0.743,1
EN627,30,1-2-3-4,c,152,>0&<200,2.154519162,0.324655349,230,137,2.34,227.66,134.66,2.224,1.494,1
