cruise,cast,niskin,replicate,vol_filtered,filter_size,tau_calibration,fd_calibration,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,iode_quality_flag
EN608,1,11-12-13-14,a,151,>0&<200,2.129904724,1.393,122,64.1,0.541,121.459,63.559,6.041,1.452,1
EN608,1,11-12-13-14,b,151,>0&<200,2.129904724,1.393,148,73.8,0.541,147.459,73.259,7.742,0.895,1
EN608,1,11-12-13-14,c,151,>0&<200,2.129904724,1.393,132,70.8,0.541,131.459,70.259,6.386,1.897,1
EN608,1,11-12-13-14,a,151,>10&<200,2.129904724,1.393,103,51.2,0.541,102.459,50.659,5.405,0.568,1
EN608,1,11-12-13-14,b,151,>10&<200,2.129904724,1.393,114,61.4,0.541,113.459,60.859,5.488,1.687,1
EN608,1,11-12-13-14,c,151,>10&<200,2.129904724,1.393,122,60.7,0.541,121.459,60.159,6.396,0.696,1
EN608,1,11-12-13-14,a,151,>5&<200,2.129904724,1.393,115,58.1,0.541,114.459,57.559,5.937,0.849,1
EN608,1,11-12-13-14,b,151,>5&<200,2.129904724,1.393,110,56.2,0.541,109.459,55.659,5.613,0.948,1
EN608,1,11-12-13-14,c,151,>5&<200,2.129904724,1.393,117,58.8,0.541,116.459,58.259,6.072,0.796,1
EN608,1,11-12-13-14,a,151,>20&<200,2.129904724,1.393,100,54.9,0.541,99.459,54.359,4.706,1.703,1
EN608,1,11-12-13-14,b,151,>20&<200,2.129904724,1.393,89.9,56.9,0.541,89.359,56.359,3.443,3.201,1
EN608,1,11-12-13-14,c,151,>20&<200,2.129904724,1.393,87.5,56.1,0.541,86.959,55.559,3.276,3.274,1
EN608,5,17-18-19-20,a,151,>0&<200,2.129904724,1.393,71,44.4,0.501,70.499,43.899,2.775,2.400,3
EN608,5,17-18-19-20,b,151,>0&<200,2.129904724,1.393,68.7,42.1,0.501,68.199,41.599,2.775,2.129,3
EN608,5,17-18-19-20,c,151,>0&<200,2.129904724,1.393,72.5,42.9,0.501,71.999,42.399,3.088,1.910,3
EN608,5,17-18-19-20,a,151,>10&<200,2.129904724,1.393,63.3,32.2,0.501,62.799,31.699,3.245,0.492,3
EN608,5,17-18-19-20,b,151,>10&<200,2.129904724,1.393,61.9,31.6,0.501,61.399,31.099,3.161,0.505,3
EN608,5,17-18-19-20,c,151,>10&<200,2.129904724,1.393,62.5,31.5,0.501,61.999,30.999,3.234,0.420,3
EN608,5,17-18-19-20,a,151,>5&<200,2.129904724,1.393,66.3,34.8,0.501,65.799,34.299,3.287,0.757,3
EN608,5,17-18-19-20,b,151,>5&<200,2.129904724,1.393,59.6,32.5,0.501,59.099,31.999,2.828,0.945,3
EN608,5,17-18-19-20,c,151,>5&<200,2.129904724,1.393,67,34,0.501,66.499,33.499,3.443,0.506,3
EN608,5,17-18-19-20,a,151,>20&<200,2.129904724,1.393,60.6,30.4,0.501,60.099,29.899,3.151,0.374,1
EN608,5,17-18-19-20,b,151,>20&<200,2.129904724,1.393,45.1,24.1,0.501,44.599,23.599,2.191,0.591,1
EN608,5,17-18-19-20,c,151,>20&<200,2.129904724,1.393,45.2,24.7,0.501,44.699,24.199,2.139,0.714,1
EN608,8,20-21-22-23,a,151,>0&<200,2.129904724,1.393,77.3,44,0.505,76.795,43.495,3.474,1.653,1
EN608,8,20-21-22-23,b,151,>0&<200,2.129904724,1.393,71.7,40.6,0.505,71.195,40.095,3.245,1.482,1
EN608,8,20-21-22-23,c,151,>0&<200,2.129904724,1.393,,,0.505,,,,,4
EN608,8,20-21-22-23,a,151,>10&<200,2.129904724,1.393,,,0.505,,,,,4
EN608,8,20-21-22-23,b,151,>10&<200,2.129904724,1.393,61.8,33.8,0.505,61.295,33.295,2.921,1.004,1
EN608,8,20-21-22-23,c,151,>10&<200,2.129904724,1.393,,,0.505,,,,,4
EN608,8,20-21-22-23,a,151,>5&<200,2.129904724,1.393,64.1,34,0.505,63.595,33.495,3.141,0.808,1
EN608,8,20-21-22-23,b,151,>5&<200,2.129904724,1.393,63,31.5,0.505,62.495,30.995,3.287,0.367,1
