cruise,cast,niskin,replicate,vol_filtered,filter_size,tau_calibration,fd_calibration,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,iode_quality_flag
EN608,8,20-21-22-23,c,151,>5&<200,2.129904724,1.393,63.7,33.7,0.505,63.195,33.195,3.130,0.783,1
EN608,8,20-21-22-23,a,151,>20&<200,2.129904724,1.393,58.1,31.8,0.505,57.595,31.295,2.744,0.945,1
EN608,8,20-21-22-23,b,151,>20&<200,2.129904724,1.393,49.5,29.2,0.505,48.995,28.695,2.118,1.265,1
EN608,8,20-21-22-23,c,151,>20&<200,2.129904724,1.393,,,0.505,,,,,4
EN608,15,22-23-24,a,151,>0&<200,2.129904724,1.393,50.5,25.9,0.5475,49.9525,25.3525,2.567,0.422,1
EN608,15,22-23-24,b,151,>0&<200,2.129904724,1.393,52,28.4,0.5475,51.4525,27.8525,2.462,0.821,1
EN608,15,22-23-24,c,151,>0&<200,2.129904724,1.393,50.7,31.3,0.5475,50.1525,30.7525,2.024,1.601,1
EN608,15,22-23-24,a,151,>10&<200,2.129904724,1.393,39.4,19.7,0.5475,38.8525,19.1525,2.055,0.202,1
EN608,15,22-23-24,b,151,>10&<200,2.129904724,1.393,35.3,17.5,0.5475,34.7525,16.9525,1.857,0.141,1
EN608,15,22-23-24,c,151,>10&<200,2.129904724,1.393,38.4,19.3,0.5475,37.8525,18.7525,1.993,0.218,1
EN608,15,22-23-24,a,151,>5&<200,2.129904724,1.393,41.2,19.8,0.5475,40.6525,19.2525,2.233,0.037,1
EN608,15,22-23-24,b,151,>5&<200,2.129904724,1.393,35.6,17.8,0.5475,35.0525,17.2525,1.857,0.177,1
EN608,15,22-23-24,c,151,>5&<200,2.129904724,1.393,,,0.5475,,,,,4
EN608,15,22-23-24,a,151,>20&<200,2.129904724,1.393,39.6,19.3,0.5475,39.0525,18.7525,2.118,0.093,1
EN608,15,22-23-24,b,151,>20&<200,2.129904724,1.393,39.2,19.2,0.5475,38.6525,18.6525,2.087,0.112,1
EN608,15,22-23-24,c,151,>20&<200,2.129904724,1.393,,,0.5475,,,,,4
EN608,19,11-12,a,151,>0&<200,2.129904724,1.393,38.6,23.5,0.541,38.059,22.959,1.576,1.131,1
EN608,19,11-12,b,151,>0&<200,2.129904724,1.393,39.7,25,0.541,39.159,24.459,1.534,1.350,1
EN608,19,11-12,c,151,>0&<200,2.129904724,1.393,36.4,21.9,0.541,35.859,21.359,1.513,1.005,1
EN608,19,15,a,151,>0&<200,2.129904724,1.393,,,0.541,,,,,4
EN608,19,15,b,151,>0&<200,2.129904724,1.393,47.3,29.3,0.541,46.759,28.759,1.878,1.512,1
EN608,19,15,c,151,>0&<200,2.129904724,1.393,45.9,27.5,0.541,45.359,26.959,1.920,1.258,1
EN608,19,21-22-23-24,a,151,>0&<200,2.129904724,1.393,50.2,34.1,0.541,49.659,33.559,1.764,2.390,1
EN608,19,21-22-23-24,b,151,>0&<200,2.129904724,1.393,42.8,25.3,0.541,42.259,24.759,1.917,1.148,1
EN608,19,21-22-23-24,c,151,>0&<200,2.129904724,1.393,43.4,25,0.541,42.859,24.459,2.016,1.012,1
EN608,19,21-22-23-24,a,151,>10&<200,2.129904724,1.393,26.6,14.5,0.541,26.059,13.959,1.326,0.402,1
EN608,19,21-22-23-24,b,151,>10&<200,2.129904724,1.393,24.5,13.7,0.541,23.959,13.159,1.183,0.446,1
EN608,19,21-22-23-24,c,151,>10&<200,2.129904724,1.393,23.3,12.1,0.541,22.759,11.559,1.227,0.204,1
EN608,19,21-22-23-24,a,151,>5&<200,2.129904724,1.393,25.2,13.3,0.541,24.659,12.759,1.304,0.276,1
EN608,19,21-22-23-24,b,151,>5&<200,2.129904724,1.393,,,0.541,,,,,4
EN608,19,21-22-23-24,c,151,>5&<200,2.129904724,1.393,33.4,17.1,0.541,22.859,13.759,0.997,0.706,1
EN608,19,21-22-23-24,a,151,>20&<200,2.129904724,1.393,23.4,14.3,0.541,22.859,13.759,0.997,0.706,1
EN608,19,21-22-23-24,b,151,>20&<200,2.129904724,1.393,22.6,12.1,0.541,22.059,11.559,1.150,0.281,1
EN608,19,21-22-23-24,c,151,>20&<200,2.129904724,1.393,24.8,14.8,0.541,24.259,14.259,1.096,0.670,1
