cruise,cast,niskin,replicate,vol_filtered,filter_size,tau_calibration,fd_calibration,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,iode_quality_flag
EN644,1,20-21-22,a,152,>0&<200,2.182,0.796,25.4,15.2,0.806,24.594,14.394,0.592,0.395,1
EN644,1,20-21-22,b,152,>0&<200,2.182,0.796,24.7,14.6,0.806,23.894,13.794,0.586,0.360,1
EN644,1,20-21-22,c,152,>0&<200,2.182,0.796,25.8,15.7,0.806,24.994,14.894,0.586,0.435,1
EN644,1,20-21-22,a,152,>10&<200,2.182,0.796,7.98,4.41,0.806,7.174,3.604,0.207,0.040,1
EN644,1,20-21-22,b,152,>10&<200,2.182,0.796,7.54,4.82,0.806,6.734,4.014,0.158,0.117,1
EN644,1,20-21-22,c,152,>10&<200,2.182,0.796,8.4,4.75,0.806,7.594,3.944,0.212,0.059,1
EN644,2,18-19-20,a,152,>0&<200,2.182,0.796,28.7,16.1,0.833,27.867,15.267,0.731,0.316,1
EN644,2,18-19-20,b,152,>0&<200,2.182,0.796,26.1,15.8,0.833,25.267,14.967,0.597,0.429,1
EN644,2,18-19-20,c,152,>0&<200,2.182,0.796,26.9,16.3,0.833,26.067,15.467,0.615,0.446,1
EN644,2,18-19-20,a,152,>10&<200,2.182,0.796,7.1,4.08,0.833,6.267,3.247,0.175,0.047,1
EN644,2,18-19-20,b,152,>10&<200,2.182,0.796,6.79,3.9,0.833,5.957,3.067,0.168,0.043,1
EN644,2,18-19-20,c,152,>10&<200,2.182,0.796,6.82,3.89,0.833,5.987,3.057,0.170,0.040,1
EN644,7,20-21-22,a,152,>0&<200,2.182,0.796,54.6,30,0.8435,53.7565,29.1565,1.427,0.572,1
EN644,7,20-21-22,b,152,>0&<200,2.182,0.796,52.6,29.1,0.8435,51.7565,28.2565,1.363,0.574,1
EN644,7,20-21-22,c,152,>0&<200,2.182,0.796,55.4,29.9,0.8435,54.5565,29.0565,1.479,0.513,1
EN644,7,20-21-22,a,152,>10&<200,2.182,0.796,39.6,20.2,0.8435,38.7565,19.3565,1.125,0.202,1
EN644,7,20-21-22,b,152,>10&<200,2.182,0.796,40.5,21.2,0.8435,39.6565,20.3565,1.119,0.276,1
EN644,7,20-21-22,c,152,>10&<200,2.182,0.796,,,0.8435,,,,,4
EN644,9,21-22-23,a,152,>0&<200,2.182,0.796,15.6,9.72,0.7725,14.8275,8.9475,0.341,0.272,1
EN644,9,21-22-23,b,152,>0&<200,2.182,0.796,14.8,8.68,0.7725,14.0275,7.9075,0.355,0.187,1
EN644,9,21-22-23,c,152,>0&<200,2.182,0.796,14.3,8.81,0.7725,13.5275,8.0375,0.318,0.233,1
EN644,9,21-22-23,a,152,>10&<200,2.182,0.796,9.23,4.99,0.7725,8.4575,4.2175,0.246,0.043,1
EN644,9,21-22-23,b,152,>10&<200,2.182,0.796,8.41,5.12,0.7725,7.6375,4.3475,0.191,0.107,1
EN644,9,21-22-23,c,152,>10&<200,2.182,0.796,8.17,4.87,0.7725,7.3975,4.0975,0.191,0.090,1
EN644,13,21-22-23,a,152,>0&<200,2.182,0.796,8.85,5.95,0.792,8.058,5.158,0.168,0.185,1
EN644,13,21-22-23,b,152,>0&<200,2.182,0.796,6.71,4.26,0.792,5.918,3.468,0.142,0.096,1
EN644,13,21-22-23,c,152,>0&<200,2.182,0.796,7.13,5.33,0.792,6.338,4.538,0.104,0.207,1
EN644,13,21-22-23,a,152,>10&<200,2.182,0.796,1.38,1.1,0.792,0.588,0.308,0.016,0.005,1
EN644,13,21-22-23,b,152,>10&<200,2.182,0.796,1.51,1.21,0.792,0.718,0.418,0.017,0.011,1
EN644,13,21-22-23,c,152,>10&<200,2.182,0.796,1.41,1.15,0.792,0.618,0.358,0.015,0.009,1
EN644,17,8-12,a,152,>0&<200,2.182,0.796,,,0.844,,,,,4
EN644,17,8-12,b,152,>0&<200,2.182,0.796,37.9,23,0.844,37.056,22.156,0.864,0.655,1
EN644,17,8-12,c,152,>0&<200,2.182,0.796,30.6,21.9,0.844,29.756,21.056,0.505,0.939,1
EN644,17,8-12,a,152,>10&<200,2.182,0.796,3,2.34,0.844,2.156,1.496,0.038,0.064,1
EN644,17,8-12,b,152,>10&<200,2.182,0.796,2.79,2.39,0.844,1.946,1.546,0.023,0.083,1
EN644,17,8-12,c,152,>10&<200,2.182,0.796,5.12,3.83,0.844,4.276,2.986,0.075,0.130,1
EN644,17,15-17,a,152,>0&<200,2.182,0.796,7.07,4.82,0.844,6.226,3.976,0.130,0.142,1
EN644,17,15-17,b,152,>0&<200,2.182,0.796,7.61,4.64,0.844,6.766,3.796,0.172,0.088,1
EN644,17,15-17,c,152,>0&<200,2.182,0.796,7.48,5.01,0.844,6.636,4.166,0.143,0.142,1
EN644,17,15-17,a,152,>10&<200,2.182,0.796,1.37,1.07,0.844,0.526,0.226,0.017,-0.002,1
EN644,17,15-17,b,152,>10&<200,2.182,0.796,1.5,1.18,0.844,0.656,0.336,0.019,0.004,1
EN644,17,15-17,c,152,>10&<200,2.182,0.796,1.35,1.15,0.844,0.506,0.306,0.012,0.009,1
EN644,17,19-20-21,a,152,>0&<200,2.182,0.796,5.69,3.85,0.844,4.846,3.006,0.107,0.099,1
EN644,17,19-20-21,b,152,>0&<200,2.182,0.796,5.71,3.71,0.844,4.866,2.866,0.116,0.081,1
EN644,17,19-20-21,c,152,>0&<200,2.182,0.796,6.07,4.18,0.844,5.226,3.336,0.110,0.119,1
EN644,17,19-20-21,a,152,>10&<200,2.182,0.796,1.47,1.19,0.844,0.626,0.346,0.016,0.007,1
EN644,17,19-20-21,b,152,>10&<200,2.182,0.796,2.09,1.59,0.844,1.246,0.746,0.029,0.022,1
EN644,17,19-20-21,c,152,>10&<200,2.182,0.796,1.5,1.17,0.844,0.656,0.326,0.019,0.003,1
EN644,23,21-22-23,a,152,>0&<200,2.182,0.796,152,86.7,0.807,151.193,85.893,3.787,2.102,1
EN644,23,21-22-23,b,152,>0&<200,2.182,0.796,142,84,0.807,141.193,83.193,3.364,2.340,1
EN644,23,21-22-23,c,152,>0&<200,2.182,0.796,151,89,0.807,150.193,88.193,3.596,2.451,1
EN644,23,21-22-23,a,152,>10&<200,2.182,0.796,113,64.9,0.807,112.193,64.093,2.789,1.605,1
EN644,23,21-22-23,b,152,>10&<200,2.182,0.796,113,63.6,0.807,112.193,62.793,2.865,1.440,1
EN644,23,21-22-23,c,152,>10&<200,2.182,0.796,113,64.4,0.807,112.193,63.593,2.818,1.541,1
